index|text
0|"📲 Receba no WhatsApp notícias da região de Piracicaba
Segundo a corporação, a dupla se aproximava de caixa eletrônicos dizendo aos clientes que o terminal estava com problemas e, na distração dos clientes, trocavam os cartões.
Com eles, foram apreendidos diversos cartões, dois celulares e algumas notas em dinheiro.
Vítima teve R$ 1,1 mil sacados
O esquema foi descoberto por volta das 9h desta quinta-feira (17), depois que uma vítima de 70 anos sofrer o golpe no caixa eletrônico de um supermercado, na Rua Ari Meireles, tendo R$ 1.160 sacados de sua conta.
Foram coletadas imagens dos supostos golpistas e o veículo onde estavam foi flagrado por uma muralha digital – câmeras de monitoramento - entrando na Avenida Iacanga.
A Guarda passou a patrulhar e o veículo foi localizado de frente a um supermercado, quando dois suspeitos foram detidos.
Com eles, foram localizados os 85 cartões de banco, uma máquina de cartão e o dinheiro da vítima de 70 anos.
A dupla foi apresentada no 2º Distrito Policial de Santa Bárbara d’Oeste, onde foram presos em flagrante por estelionato.
VÍDEOS: Tudo sobre Piracicaba e região
50 vídeos
Veja mais notícias sobre a região no g1 Piracicaba"
1|"Seu Nelson, de 89 anos, foi vítima do golpe em um shopping, em Jacarepaguá. Imagens da câmera de segurança registraram a ação dos criminosos.
Seu Nelson sacava dinheiro quando foi abordado. Um homem chega e fica logo atrás dele. Não demora muito, outro homem aparece nas imagens.
As imagens mostram ainda quando um dos golpistas tira um papel da carteira e depois, finge que está fazendo alguma transação no caixa eletrônico. Mas logo, chama seu Nelson de volta e diz que há um defeito na conta do idoso e que vai ajudá-lo.
Os criminosos trocaram o cartão de seu Nelson. Depois sacaram todo seu dinheiro, que eram R$ 600. Ele foi pra casa com um cartão de crédito de uma mulher de nome Ana Maria.
“Fomos para a agência. Entregamos o cartão - que estava trocado e não percebemos - por ser dourado igual ao dele. Entregamos ao rapaz que atende idosos e lá ele perguntou se eu era Ana Maria Abreu Lima”, diz a filha do idoso, a corretora Alba Valéria.
Assistindo à reportagem do RJ1, a Ana Maria Abreu Lima entrou em contato com a produção do telejornal, dizendo que sofreu o mesmo golpe.
A senhora de 77 anos, foi abordada por dois criminosos no dia 21 de junho, por volta das 11h45 da manhã, em um shopping na Barra da Tijuca.
“Eu me dirigi ao banco, expliquei tudo, a moça pegou e falou assim: 'não, esse cartão não é da senhora'. Aí falei 'como não'?. Aí me lembrei da situação do caixa eletrônico"".
Dona Ana Maria também teve o cartão de crédito trocado e está em desespero porque diz que jamais acumulou dívidas nesse valor:
""Foi [um débito] no valor de R$ 4,9 mil mais um empréstimo de R$ 12 mil feito no meu nome. Eu tenho pavor de divida"".
Tanto seu Nelson, como dona Maria registraram boletim de ocorrência e agora tentam recuperar o dinheiro com a administradora do cartão de crédito.
O delegado da especializada no atendimento à pessoa da terceira idade ressalta que não se deve confiar em ninguém em situações como essa. ""Jamais aceite a ajuda de estranhos. Jamais digite a sua senha ou forença a sua senha pra quem quer que seja"", alerta o delegado Mário Luiz da Silva. A polícia trabalha para identificar os golpistas."
2|"De acordo com delegados e investigadores das três principais delegacias que investigam crimes envolvendo os desfiles dos blocos carnavalescos no Centro e na Zona Oeste de São Paulo, os números de casos ainda são imprecisos porque não foi feito um balanço, mas a prática cresceu neste ano em relação ao ano passado. Em número de registros, furto e roubo de celular continuam sendo os crimes mais cometidos durante o carnaval.
No ""golpe do cartão"", os ambulantes que vendem bebidas ou alimentos durante a passagem dos blocos trocam os cartões dos clientes quando vão cobrar o pagamento. Os foliões não percebem a troca e recebem de volta um cartão que não é deles.
Depois de decodificarem a senha do cartão, os ambulantes vão até um caixa eletrônico e sacam o dinheiro da conta. A reportagem ouviu e conseguiu relatos de quatro foliões que caíram no golpe da troca do cartão.
Foliões do Jegue Elétrico — Foto: Thiago Lavado/ G1
R$ 9 mil de prejuízo
“Nem percebi. Quando fui comprar a cerveja dei o cartão para o ambulante. Depois ele passou para outro vendedor atrás dele, que colocou na maquinha e me devolveu”, diz o administrador Lucas Zafalon, de 29, anos que saiu de Santa Fé do Sul, interior paulista, para curtir o carnaval com a noiva.
O casal estava no bloco do “Jegue Elétrico”, no domingo (3), em Pinheiros. “Guardei, fui embora e só percebi hoje [segunda] quando o banco mandou mensagens de que tiraram R$ 9 mil da minha conta”, lembra o folião, que nesta segunda foi ao 14º Distrito Policial (DP) registrar a ocorrência.
Segundo policiais civis, o golpe da troca de cartão tem sido registrado como estelionato, mas também pode ser feito boletim de ocorrência como fraude ou até furto.
A Polícia Civil investiga a possibilidade de que os ambulantes que aplicam o golpe nem sempre cobram da vítima o valor do produto que venderam. Um exemplo: no caso de Lucas, os R$ 6 da cerveja não foram debitados de sua conta.
Isso porque existe a suspeita de os ambulantes terem memorizado a senha que o administrador digitou na frente deles ou usavam uma máquina para copiar a senha.
“Achei mesmo estranho o ambulante ficar segurando a máquina enquanto eu digitava”, fala Lucas, que depois recebeu um cartão idêntico ao dele. “Mas é de outra pessoa, possivelmente vítima desses bandidos também”.
Percebeu o golpe
Gustavo Leão caiu no golpe do cartão trocado, mas com ajuda de outras pessoas conseguiu reaver o cartão verdadeiro que estava com ambulante — Foto: Marina Pinhoni/G1
Ainda no domingo, outro folião caiu no mesmo golpe da troca do cartão. Gustavo Leão estava no bloco ""Prato do Dia"", nos Campos Elíseos, na região central.
Ele comprou cerveja de um vendedor não autorizado pela prefeitura quando foi alertado por um organizador do bloco.
""Eu achei estranho que ele não soltava a maquininha, mas não percebi a troca. Só depois que me avisaram foi que eu vi que o cartão que estava comigo não era o meu"", diz Gustavo, que conseguiu reaver seu cartão.
Segundo o folião, pessoas que estavam próximas perceberam que o vendedor aplicou o golpe, o acuaram e obrigaram a devolver o cartão a Gustavo. O golpista foi expulso do bloco, mas não houve confusão. Não há informação se o ambulante foi detido ou se foi registrado BO.
Pouco tempo depois os organizadores do ""Prato do Dia"" usaram o microfone do carro de som para alertar as pessoas para que confiram os cartões e não comprem bebida de vendedores não autorizados.
O G1 ainda soube ainda de uma mulher que teve R$ 15 mil sacados de sua conta depois de comprar bebida com ambulante na Vila Madalena durante desfile de um bloco durante o carnaval de rua. Ela conseguiu que o banco devolvesse o dinheiro furtado.
Bancos
Máquina de cartões são usadas por ambulantes com intuito de aplicar golpe — Foto: Arquivo/Reprodução TV Globo
Na tentativa de fazer com que seus clientes não caiam no golpe da troca de cartão, bancos estão enviando alertas aos foliões para que fiquem atentos durante as compras no carnaval. Algumas mensagens são enviadas por Whatsapp.
Além da troca de cartão, os golpistas estão aplicando a compra dupla nos foliões, segundo as instituições financeiras.
No caso, o vendedor finge que o cartão não passou e pede para você digitar a senha novamente, em outra máquina. Para evitar o golpe, o banco alerta para prestar atenção à mensagem que aparece no visor.
Bancos alertam clientes para tomar cuidado com cartões durante carnaval — Foto: Reprodução/JN
Dicas
Veja dicas dos bancos para evitar golpes no carnaval:
•Fique de olho no visor da maquininha na hora da compra;
•Verifique se a senha digitada não está visível;
•Confira o nome em seu cartão antes de guardá-lo na carteira;
•Guarde seus documentos em lugar seguro; se tiver zíper, feche com um grampo;
•Verifique se a compra foi aprovada após digitar a senha;
Mensagem do Itaú alerta para o golpe da troca de cartões no carnaval. — Foto: Reprodução
A Federação Brasileira dos Bancos (Febraban) publicou um post em sua página no Twitter com uma marchinha de carnaval, chamando atenção para o golpe.
""Ô abre os olhos ou vão te enganar/Peço licença para poder desabafar/Trocaram meu cartão, ó, pobre de mim"".
Reproduzir vídeo
Foliões de São Paulo relatam golpe do cartão trocado no Carnaval de rua
CARNAVAL DE RUA EM SP
Guia de blocos: veja locais e horários
Como não ter o celular furtado na folia
Batalha das fantasias: mande sua foto e participe
Transforme seu meme em fantasia
Dicas para fantasias de crianças"
3|"Compartilhe esta notícia no WhatsApp
Compartilhe esta notícia no Telegram
O caso foi registrado na delegacia de Polícia Civil de Santarém, e acende um alerta para que esse tipo de ação não ocorra com mais frequência, já que o golpe é considerado novo. De acordo com o delegado Erik Peterson, os criminosos trocam as máquinas de cartão por outras do mesmo modelo, mas com os dados dos golpistas, geralmente de outros estados.
Ainda de acordo com o delegado, os criminosos esperam um momento de desatenção dos frentistas para trocarem os aparelhos, geralmente do mesmo modelo. A ação não gera suspeita porque os pagamentos são efetuados normalmente com a saída do comprovante, mas o valor cai direto na conta bancária do criminoso.
As contas dos golpistas foram localizadas nas cidades de Imperatriz, no Maranhão, e em Palmas, no Tocantins.
A falta de atenção pode trazer muitos prejuízos, por isso o delegado Erik Petterson destaca que os principais cuidados são a atenção redobrada e o cuidado ao observar se o CNPJ da empresa está correto, antes de finalizar o procedimento na máquina.
O proprietário do posto de combustível vítima do golpe explicou que devido ao controle e fechamento do caixa, eles perceberam que havia um prejuízo estimado entre 5 e 9 mil reais.
*Colaborou Victor Ribeiro, repórter da TV Tapajós
VÍDEOS: Mais vistos do g1 Santarém e Região
50 vídeos
."
4|"A forma como os criminosos agiram foi registrada por uma câmera de segurança do estabelecimento.
Conforme mostram as imagens (veja acima), os dois suspeitos agem como se fossem clientes. É possível ver que um deles tira algo do bolso, e coloca em baixo de um blaser. Eles seguem conversando e pedem a conta ao garçom.
Depois de alguns segundos o funcionário do restaurante volta e mostra o valor gasto. Um dos homens então entrega o cartão, que colocado na máquina. O golpista então passa o equipamento para o comparsa que coloca a máquina no coloca e faz a troca rapidamente. Tudo isso enquanto o outro homem distraía o garçom.
O golpe ocorreu no dia 14, mas o dono do restaurante só percebeu o que tinha ocorrido 5 dias depois, quando constatou que todo o dinheiro pago na máquina estava indo para a conta dos criminosos. A polícia informou que investiga o caso e que ele segue sob sigilo.
VÍDEOS com mais notícias sobre o Pará
50 vídeos
Veja outras notícias do estado no g1 Pará"
5|"O crime aconteceu no por volta das 20h no dia 9 de maio em uma padaria do bairro Bonfim. No vídeo, o criminoso se aproxima do caixa para o pagamento enquanto a funcionária está fora do local. Enquanto ela se aproxima, ele retira a máquina da padaria de cima do balcão e faz a troca. No momento do pagamento, a vítima ainda vê que a máquina está desconectada, mas não percebe a falha.
O golpe só foi percebido no dia 12 de maio, depois que a dona do estabelecimento acionou a empresa responsável pelo aparelho depois que deixou de aceitar pagamentos com vale-refeição. Quando o profissional checou a máquina, percebeu que não era o equipamento registrado em nome do comércio.
“Foi só com o técnico que a gente percebeu que havia sofrido um golpe. Eu entrei no site da empresa e fui pesquisar minha última venda na máquina verdadeira e vi que foi no domingo. Quando chequei as imagens nas câmeras de segurança percebi a troca das maquininhas”, conta a proprietária, Ana Cláudia dos Santos. O prejuízo estimado pela comerciante é de que tenha perdido cerca de R$ 3 mil com o golpe.
Criminoso trocou máquinas de cartão em estabelecimento e faturou R$ 3 mil — Foto: Arquivo Pessoal
Para o crime, o homem fez um registro em seu nome na Receita Federal abrindo uma empresa com a mesma identificação da padaria. Com os dados, solicitou à empresa de máquinas de cartão o equipamento.
O suspeito foi identificado pela polícia como um morador do bairro Vila Nogueira, em Taubaté. A polícia chegou a ir ao seu endereço, mas foi informado pela mãe de que ele não estaria mais no local. O caso está sendo investigado pela Polícia Civil.
50 vídeos"
6|"Segundo a investigação, dois homens, de 31 e 39 anos, aguardavam momentos de distração dos atendentes para substituir os equipamentos por um próprio, de igual marca e modelo, e, assim, aplicar o golpe (veja vídeo acima). Eles vão ficar detidos por tempo indeterminado.
A dupla é investigada por pelo menos três crimes cometidos na Asa Norte. De acordo com a 2ª Delegacia de Polícia, que apura o caso, com a substituição das máquinas nos estabelecimentos, os valores pagos por clientes eram transferidos diretamente para a conta dos golpistas.
VÍDEO: disfarçados de funcionários de empresa de telefonia, ladrões são presos no DF por furtar fios de cobre
Polícia prende quadrilha especializada em furto de caminhonetes no DF
Vídeos mostram a ação dos suspeitos. Os alvos foram dois postos de gasolina e uma padaria. Em todas ocasiões, eles agiram da mesma forma, em horário de grande movimentação do comércio e se aproveitando da distração de funcionários.
Em um dos estabelecimentos, segundo a Polícia Civil, o prejuízo foi de aproximadamente R$ 6,5 mil. os detidos vão responder por furto mediante fraude e estelionato. A pena prevista para esses crimes é de até 13 anos de prisão.
Suspeito furta e substitui máquina de cartão em padaria da Asa Norte, no DF
Identificação
Com um dos suspeitos, os policiais identificaram as roupas usadas no dia do crime, além das máquinas e cartões magnéticos usados de teste nas máquinas, antes delas serem substituídas nos estabelecimentos.
Um dos suspeitos confessou o crime. Ele contou que, antes de aplicar o golpe, visitava os locais para identificar a marca e o modelo da máquina para que, então, pudesse fazer a substituição.
Homem é preso suspeito de furto e estelionato, na Asa Norte, no DF — Foto: PCDF/Divulgação
Os investigados têm passagens por outros crimes. O suspeito de 39 anos já responde por estelionato. O outro, de 31, tem passagens nas delegacias por tráfico de drogas, uso de documento falso, receptação e estelionato, todos cometidos fora da capital.
Leia mais notícias sobre a região no G1 DF."
7|"Em seu perfil na rede social X, o estudante de 23 anos contou que até pensou em estornar o valor de todas as últimas vendas registradas, mas a máquina não permite a devolução sem que o cartão usado para fazer a compra esteja presente.
O estudante contou que tinha solicitado, por meio de uma plataforma on-line, um técnico para consertar o interfone do prédio onde mora.
Um profissional enviou mensagem de volta passando um orçamento para o serviço no valor de R$ 50 referente à mão de obra e mais R$ 47,99 para trocar uma peça do aparelho.
Ficou combinado que, primeiro, um motoboy, supostamente da loja, iria levar a peça, que deveria ser paga no ato. Só depois o técnico iria até o local fazer o reparo.
Momento em que vítima toma máquina de cartão da mão de golpista — Foto: Reprodução/g1
Segundo Lucca, que preferiu que seu sobrenome não fosse divulgado, o motoboy chegou por volta de meio-dia e disse que o pagamento não poderia ser via PIX, mas apenas por cartão.
Ele tentou, então, passar o cartão de Lucca três vezes no modo aproximação (quando apenas se encosta o celular na tela da máquina) e uma vez o cartão físico, mas a operação não era finalizada.
A todo momento, conta, o criminoso mostrava o visor indicando que o valor da cobrança era de R$ 47,99. Quando não passou nenhuma vez, ele disse que iria buscar uma outra máquina.
""Ali, comecei a desconfiar que poderia ser um golpe. Eu estava do lado dele e fui para trás do portão e o fechei sem fazer alarde, para que ele não percebesse, mas ainda assim eu não queria acreditar que se tratava mesmo de um golpe. Dei um voto de confiança"", relembra.
Segundo Lucca, a outra máquina que ele trouxe era de um modelo diferente, em que a aproximação do celular ou cartão tem que ser feita pela parte de cima, e o painel com o valor não fica visível para o cliente.
O que o salvou foi o alerta recebido no celular.
""Eu não conferi o valor na máquina, mas a notificação do Apple Pay [sistema de pagamento do iPhone] piscou na hora na tela do meu celular mostrando que a compra havia sido aprovada e no valor de R$ 2 mil. E o motoboy dizendo que a compra ainda estava sendo processada. Eu fiquei ali olhando a tela do celular em silêncio, disfarçando para ele não perceber nada"", diz.
Nessa hora, o criminoso passou a máquina pelo vão da grade do portão. ""Acho que ele ia tentar me dar o golpe de novo, dizendo que da primeira vez não havia passado"", afirma.
Lucca conta que isso tudo aconteceu muito rápido: entre receber a notificação da compra aprovada e puxar a maquininha da mão dele, se passaram uns 40 segundos só, calcula.
Meio que no susto, tomei a maquininha da mão dele, e ele saiu correndo, me xingando e dizendo que eu tinha caído num golpe. Ele ainda deu umas duas voltas no quarteirão. Liguei para o 190 da polícia, mas nunca apareceram.
— Lucca, estudante que quase foi vítima do golpe da maquininha
Já em casa, o estudante colocou a máquina em cima da mesa, mexeu no menu do aparelho e conseguiu achar a opção para estornar o valor da compra. Foi possível reverter a operação porque ele tinha o cartão físico para seguir o procedimento exigido pela maquininha, que é encostar ou inserir novamente o cartão usado.
Depois, ele foi até uma delegacia do bairro, mas, após esperar uma hora e 40 minutos, voltou para casa e registrou um boletim de ocorrência pela internet mesmo. Ele pretende levar a máquina à polícia assim que tiver mais informações para fazer a representação criminal.
Foi a primeira vez em que ele passou por esse tipo de situação, que é conhecida como ""golpe da maquininha"".
Após o ocorrido, a plataforma on-line GetNinjas, por onde Lucca havia contatado o profissional, mandou uma resposta-padrão para ele dizendo que iria bloquear o vendedor.
➡️ Questionada pela TV Globo, a Secretaria da Segurança Pública informou que a Polícia Militar recebeu um chamado para atender a ocorrência e compareceu ao local, mas não localizou a vítima. Disse ainda que o caso foi registrado como estelionato e que a vítima precisa fazer uma representação criminal para que a investigação prossiga.
Abaixo, leia a íntegra da nota da secretaria:
A Polícia Militar esclarece que recebeu um chamado para atender a ocorrência e compareceu ao local, mas não localizou o solicitante. A vítima, um homem de 22 anos, registrou os fatos pela Delegacia Eletrônica. Segundo ele, após solicitar o conserto de um interfone por uma plataforma on-line, um motoboy compareceu ao seu endereço e, ao aproximar seu cartão da máquina para efetuar o pagamento do produto, percebeu que havia sido debitado de sua conta um valor maior que o combinado. Ele tomou o objeto da mão do motoboy, que fugiu. O caso foi registrado como estelionato e a vítima orientada quanto ao prazo de seis meses para ofertar a representação criminal para que o inquérito seja instaurado e a investigação prossiga.
➡️ Procurada, a plataforma GetNinjas informou que realizou ""o bloqueio permanente do perfil fraudador"" e prestou o ""suporte necessário ao cliente"".
Abaixo, leia a íntegra da nota da empresa:
O GetNinjas é um aplicativo que conecta prestadores de serviços a clientes potenciais. Os profissionais utilizam a plataforma para anunciar seus serviços e captar novos clientes, sendo a plataforma exclusivamente um canal de divulgação. As etapas de contato, negociação e pagamento ocorrem fora do ambiente da plataforma.
Salientamos que todos os usuários cadastrados são submetidos a um rigoroso processo de validação documental antes de sua adesão ao aplicativo, e medidas contínuas de segurança são implementadas para prevenir fraudes.
Sobre o caso mencionado, lamentamos o ocorrido e prestamos o suporte necessário ao cliente. Por fim, realizamos o bloqueio permanente do perfil fraudador, impedindo que ele utilize a plataforma novamente.
VÍDEO: câmera de segurança registra assalto que deixou homem baleado em padaria em Pinheiros, Zona Oeste de SP
Saiba mais"
8|"Compartilhe no WhatsApp
Compartilhe no Telegram
Ainda segundo a polícia, para simular que efetuou o pagamento da compra, os golpistas ainda imprimem um papel e entregam como um falso comprovante.
De acordo com o delegado Jarder Bruno, em Minaçu, o golpe foi aplicado em diversos comércios da cidade. Ele explica que, na ocasião, os atendentes dos estabelecimentos vitimados acreditaram que se tratava de um erro no momento da transação, e não de uma fraude.
“Ao chegar em estabelecimentos comerciais, fazia o pedido de produtos e no momento que deveria realizar o pagamento mediante uso de cartão de crédito ele pedia que os atendentes deixassem ele mesmo fazer essa transação, no que ele fingia estar fazendo o pagamento, imprimia o recibo em branco como estivesse fazendo um teste no aparelho”, detalhou o delegado.
LEIA TAMBÉM
Golpe do achadinho: Entenda crime em que golpista engana vítima após deixar objeto cair para distraí-la com falsa recompensa
Golpe do brinde: entenda golpe em que criminosos prometem presentes para pegar dados
Golpe do falso emprego: entenda golpe em que criminosos prometem trabalhos com altos salários e usam dados para clonar cartões e abrir contas em bancos
Máquina de cartão — Foto: TV Globo/Reprodução
O delegado ainda contou que a apresentação do papel simulando um falso comprovante é uma das estratégias para fazer com que os funcionários dos estabelecimentos acreditem que o pagamento foi feito e que o erro está na maquininha, “uma vez que o comprovante teria sido impresso”.
Segundo apuração da TV Anhanguera, estabelecimentos que denunciaram o caso contaram que o golpe foi aplicado até mesmo em relação a maquininhas que não imprimem comprovantes. Em Minaçu, o suspeito de aplicar os golpes nos comércios foi preso e deve responder pelo crime de estelionato.
Também de acordo com o delegado, ao serem questionados sobre o pagamento, os criminosos costumam tentar distrair os funcionários ou demonstrar pressa em sair do local.
“Ele [o golpista] se utilizava de uma fraude para isso e quando era contestado sobre isso ele alegava que estava com pressa e saía imediatamente do estabelecimento sem realizar o devido pagamento”, contou o delegado.
Homem filmado praticando o golpe da maquininha, em Minaçu, Goiás — Foto: Reprodução/TV Annhanguera
Como se prevenir de golpes?
Segundo a polícia, os comerciantes precisam ficar atentos a determinadas ocasiões:
Quando clientes causarem muita confusão ou conversam muito durante o pagamento;
Quando clientes tentarem distrair atendentes ou mantê-los ocupados com algo;
O delegado Jarder Bruno ainda explica que, para evitar cair nesse tipo de golpe, os estabelecimentos devem:
Deixar para entregar o produto ao cliente somente quando tiver certeza que o pagamento foi efetuado;
Não deixar que o próprio cliente passe o cartão de crédito e realize o procedimento da transação, entregando a máquina para que ele mesmo faça;
Veja outras notícias da região no g1 Goiás.
VÍDEOS: últimas notícias de Goiás
50 vídeos"
9|"Compartilhe no WhatsApp
Compartilhe no Telegram
Carlos Henrique Gomes explicou que um casal entrou no local sem ser notado, trocou a máquina que era usada no estabelecimento por um equipamento deles, e assim passaram a receber em conta os valores das vendas, até que o dono do local percebeu o golpe.
Em um único dia, o proprietário relatou ter sofrido o prejuízo de R$ 1 mil.
""A Polícia Civil instaurou um procedimento para investigar o caso e busca a identificação dos suspeitos, que entraram no local de forma despercebida por conta da movimentação de clientes e colocaram em cima do balcão uma máquina que pertence a eles. Assim, os valores das vendas caiam nas contas dos criminosos"", explicou.
Delegado regional Carlos Henrique Gomes fala sobre o golpe do cartão em Pará de Minas — Foto: Polícia Civil/Divulgação
Ação registrada por câmeras
Ainda de acordo com o delegado regional, a ação dos criminosos foi registrada por uma câmera de segurança do estabelecimento. As imagens não foram cedidas à reportagem.
“Conforme mostram as imagens que vimos, o casal agiu como se fosse cliente e deixou uma máquina igual às utilizadas pelo comércio no balcão e a moça que operava o caixa não percebeu e passou a usar a máquina trocada”, pontuou.
Cuidados redobrados
A polícia orienta que os estabelecimentos adotem medidas a fim de dificultar a atuação dos criminosos, como a checagem diária de pagamentos creditados em nome da empresa e a conferência do nome do estabelecimento na emissão do comprovante emitido pela máquina.
📲 Confira as últimas notícias do g1 Centro-Oeste de Minas
📲 Acompanhe o g1 no Instagram e no Facebook
VÍDEOS: veja tudo sobre o Centro-Oeste de Minas
50 vídeos"
