index|text
138|"Golpes envolvendo transferência de dinheiro via Pix cresceram mais de 350% em abril e maio, em relação a fevereiro e março. E agora já tem uma nova modalidade na praça, que está sendo chamada de ""Robô do Pix"" ou ""Urubu do Pix"".
Contas em redes sociais prometem dinheiro fácil, desde que a pessoa faça uma transferência primeiro. São chamadas como ""Pague R$ 20 e receba R$ 200"" ou ""Pague R$ 50 e ganhe R$ 500"".
CONTINUA APÓS PUBLICIDADE
Relacionadas
Fim da magia? Apple encerra acordo com guru do design de Steve Jobs
Exclusivo: engenheiro do Google revela detalhes da 'IA com mente própria'
James Webb: veja fotos impressionantes de Júpiter 'escondidas' em arquivo
Um estudo da empresa PSafe, especializada em cibersegurança, revelou que esses perfis falsos compõem uma rede que já soma mais de 654 mil seguidores. E ela é toda automatizada - daí o apelido do golpe.
O objetivo é obter não apenas o dinheiro da vítima, mas também seus dados confidenciais, que podem ser usados em outros golpes.
Reprodução de postagem em conta de ""Robô do Pix""
Imagem: PSafe/Reprodução
""De janeiro a junho, já bloqueamos quase 12 milhões de tentativas de estelionato virtual, que são golpes que tentam induzir as vítimas a realizar algo, como transferência bancária ou fornecimento de dados sensíveis, com o objetivo de obter ilicitamente alguma vantagem"", diz o executivo-chefe de segurança da PSafe Emilio Simoni. ""Isso quer dizer que, por dia, tivemos mais de 65 mil tentativas. É um número bem alarmante.""
Há ainda variações do golpe. Em uma delas, os golpistas entram em contato com a vítima e avisam que ela ganhou um prêmio em dinheiro. Em outra, é oferecido um sorteio do PIX. Em ambas, os criminosos pedem que a vítima acesse um link e preencha dados pessoais e bancários para solicitar o resgate. Com essas informações em mãos, os criminosos acabam fazendo a clonagem do cartão de crédito, por exemplo.
Como se proteger?
Para evitar cair em golpes, é necessário seguir algumas recomendações:
Desconfie de qualquer oferta ou promoção online que ofereça uma grande vantagem, principalmente as que solicitam preenchimento de dados pessoais para a obtenção do prêmio;
Não clique em links enviados por mensagem ou emails;
Nunca informe dados sensíveis em links de procedência duvidosa;
Procure sempre confirmar a veracidade das informações em páginas e sites oficiais das marcas, quando se tratar de uma promoção ou oferta de lojas conhecidas.
Mantenha o antivírus atualizado."
139|"A Apple, a Meta, o Twitter e outras gigantes da tecnologia têm sido enganadas por hackers, e podem ter contribuído para a extorsão de menores e mulheres. Os criminosos se passam por policiais para conseguir dados pessoais sensíveis de usuários dessas companhias, e então entram em contato com eles.
Esta tática já havia sido empregada em fraudes financeiras, mas agora também foi usada para extorquir sexualmente as vítimas, que são forçadas a produzir e enviar fotos e vídeos íntimos. Google, Snap e Discord também estão entre as empresas alvo do golpe.
CONTINUA APÓS PUBLICIDADE
Relacionadas
Hackers fingem ser policiais para roubar dados de clientes da Apple e Meta
Golpe do 'emprego de meio período online' vira piada, mas é bom se proteger
Receba notícias de Tilt no WhatsApp e no Telegram
Não se sabe quantos pedidos falsos de dados as big techs já receberam, já que eles parecem vir de órgãos da lei legítimos. De acordo as autoridades norte-americanas, estes incidentes se tornaram ""mais prevalentes"" nos últimos meses.
Como se proteger?
Este golpe é especialmente efetivo pois as vítimas não tiveram nem chance de se proteger — o simples uso das plataformas as deixou expostas. A única maneira de evitar é não usar os serviços das empresas, o que é quase impossível nos dias de hoje.
Os hackers tiveram sucesso pois, normalmente, as gigantes de tecnologia respondem a apelos de emergência das autoridades (casos de perigo iminente, como suicídio, assassinato ou sequestro) compartilhando uma quantidade limitada de informações primeiro, mesmo sem ordem judicial, em sinal de boa fé, e fazendo perguntas depois.
Os dados enviados costumam incluir nome, IP, email e endereço físico. Não é muito, mas mais que suficiente para criminosos realizarem práticas de phishing (conseguir senhas, número de cartão etc), doxing (divulgar informações pessoais), swatting (enviar uma equipe de polícia para a casa da pessoa) e outros golpes.
De acordo com a Bloomberg, alguns dos hackers invadiram as contas das redes sociais das vítimas para conseguir fotos e vídeos íntimos, ou fizeram amizade com mulheres e menores, encorajando-os a enviar imagens explícitas.
Também ameaçaram vazar estes conteúdos para amigos, familiares e diretores de escola, se não cumprissem algumas ordens. Em alguns casos, as vítimas foram pressionadas a cortar sua pele com o nome do hacker.
Acredita-se que muitos dos criminosos sejam adolescentes, residentes nos Estados Unidos e de outros países.
Há solução?
E agora, como diferenciar as autoridades falsas das reais, sem comprometer o andamento da Justiça? ""Ninguém quer que as empresas de tecnologia recusem pedidos legítimos de emergência, quando a segurança de alguém está em jogo"", disse o senador Ron Wyden. ""Mas o sistema atual tem pontos fracos claros que precisam ser resolvidos.""
""Nós revisamos todos os pedidos de dados e usamos sistemas e processos avançados para validar solicitações de aplicação da lei e detectar abusos"", disse Andy Stone, porta-voz da Meta, ao Engadget. ""Bloqueamos contas comprometidas de fazer solicitações e trabalhamos com a aplicação da lei para responder a incidentes envolvendo solicitações fraudulentas suspeitas.""
As big techs podem ter de implementar algum tipo de ""autenticação de dois fatores"" com a polícia, como uma chamada de volta, ou mesmo um sistema específico para realização destes pedidos, no qual seria mais fácil detectar uma invasão hacker."
140|"Você costuma receber mensagens de texto de organizações conhecidas que usam o número 0800? Pois saiba que tem um novo golpe na praça usando justamente esse prefixo para atrair vítimas com um pedido (falso) de confirmação de Pix. O alerta foi feito por pesquisadores da empresa de segurança digital Kaspersky.
Os cibercriminosos atuam no Brasil e visam roubar números de cartões de crédito e tokens de autenticação para operações financeiras. O uso do número 0800 serve para ganhar a confiança da vítima, já que é comumente utilizado por centrais reais de bancos. Com isso, os golpistas acabam roubando dados financeiros com mais facilidade.
CONTINUA APÓS PUBLICIDADE
Relacionadas
Bandidos reciclam golpe velho para invadir apps de banco 'pelo ar'
Emprego de meio período? Cuidado com golpe circulando por SMS e WhatsApp
Receba notícias de Tilt no WhatsApp e no Telegram
Como o golpe funciona
Para começar, a vítima recebe um recado via SMS contendo uma mensagem que parece verdadeira. O recado é recebido por meio de um short-code —um número de envio curto, normalmente com cinco ou seis dígitos, que também são popularmente utilizados por serviços oficiais. Só que nesse caso, a origem é fraudulenta.
No exemplo compartilhado pela Kaspersky, a mensagem alertava para um suposto Pix transferido pelo usuário, que nunca ocorreu de verdade. Logo em seguida, há um número iniciado por ""0800"" de um suposto serviço de atendimento ao consumidor para a pessoa saber mais detalhes sobre a transação.
Quando a pessoa entra em contato com o telefone 0800 contido na mensagem, os golpistas pedem a confirmação de dados da conta e agência bancária —é aí que acontece o roubo de dados. Além disso, os criminosos perguntam se a vítima possui alguma autenticação temporária ativada (via token, por exemplo).
Caso tenha, o criminoso, se passando por um atendente bancário, solicitará o código de ativação para conseguir acessar e concluir a fraude.
Para completar, o golpista avisa sobre o cancelamento dos cartões da conta da vítima e aproveita para se apossar dos números dos cartões de crédito. Na investigação da Kaspersky, o falso atendente foi ainda mais longe: ao não receber o número do cartão de crédito, insistiu em saber o endereço para retirada do cartão ""cancelado"".
Saiba como se proteger
A Kaspersky explica que não é possível bloquear esse tipo de tentativa de golpe, já que os números no estilo ""0800"" e short-code são ferramentas legítimas de comunicação.
""Não é fácil registrar um número 0800 e os shorts-codes são um canal usados exclusivamente por um seleto grupo de empresas, como bancos, operadoras e grandes lojas. Isso mostra o quanto as fraudes estão refinadas"", explica Fabio Assolini, analista sênior de segurança da Kaspersky no Brasil, em comunicado.
Então vale ficar em alerta: para proteger seus dados financeiros, é importante sempre entrar em contato com o serviço de cartão de crédito ou bancário por meio do número de telefone oficial e/ou pelo aplicativo direto. Esse contato pode ser encontrado nas plataformas autênticas, como o site verificado do banco, ou nas faturas do cartão.
E, principalmente, a dica é sempre duvidar de mensagens recebidas por números desconhecidos, seja via SMS ou quaisquer outras plataformas de recados. ""O conhecimento sobre o golpe é a melhor prevenção"", completa Assolini."
141|"Com o boom dos pagamentos online, os golpes estão cada vez mais frequentes e diversos, mas é o falso pagamento que lidera e domina a lista de fraudes digitais —corresponde a 42% dos casos, segundo pesquisa que analisou cerca de 20 milhões de contas abertas em plataformas. Na sequência, estão a falsa venda (25%) e o roubo de dados (23%).
No golpe mais utilizado no país, o fraudador elabora um falso comprovante de depósito, com os dados da vítima, e envia por email ou WhatsApp para finalizar uma transação de venda de um produto.
CONTINUA APÓS PUBLICIDADE
Relacionadas
Golpistas descobrem jeito de banir pessoas no Instagram em troca de grana
Golpe do delivery faz conta de influencer no mercado subir R$ 230 'do nada'
Receba notícias de Tilt no WhatsApp e no Telegram
O vendedor acredita que o valor já foi depositado e entrega o produto. Quando percebe o golpe, o golpista já sumiu do mapa: ele já está com o produto em mãos e deixa de responder as mensagens.
O estudo, feito pela OLX, plataforma de compra e venda online, em parceria com a AllowMe, empresa de proteção de identidades digitais, coletou dados de janeiro a junho de 2021. Segundo o levantamento, esse golpe gerou um prejuízo estimado de certa de R$ 6 milhões apenas no 1º semestre deste ano.
O crime costuma acontecer com mais frequência na venda de eletrônicos, que representam 78% dos casos. Celulares aparecem em primeiro lugar (47%), em seguida, videogames (19%) e computadores (13%).
O perfil do fraudador
Os golpistas são extremamente organizados e não atuam sozinhos. Na verdade, eles participam de associações criminosas, que se organizam em rede, para criar contas falsas a partir de dados de pessoas de verdade.
Os fraudadores buscam atrair o maior número de vítimas por meio de anúncios, muitas vezes com abordagens realistas.
Há uma ideia de que as atividades cibernéticas criminosas estão associadas à deep web —parte da internet que não é indexada pelos mecanismos de busca como o Google, por exemplo— com navegador Tor, recurso utilizado nessa parte da web. Contudo, a pesquisa mostra que esse argumento não é tão assertivo assim: a cada 10 mil contas falsas criadas, apenas uma é feita a partir do Tor (0,01%) e 14 utilizam caixas de e-mail temporárias (0,14%).
Por outro lado, a relação de emails válidos, que vazaram recentemente, é muito superior. Se considerarmos uma amostra de mais de 10 mil contas falsas, 173 foram abertas fazendo uso de emails comprometidos.

Outro mito é em relação ao horário. Três em cada quatro atividades criminosas ocorrem entre meio-dia e meia-noite. A madrugada, período do dia que muitas pessoas acreditam que os golpes costumam acontecer, corresponde a somente 18%.
Como se prevenir?
Tanto Gustavo Monteiro, diretor geral do AllowMe, quanto Beatriz Soares, diretora de produto e operações da OLX, usaram os dados da pequisa para reforçar o papel dos internautas no reforço à segurança digital.
""Mesmo com maior investimento por parte das empresas nas soluções de segurança e a tecnologia como uma aliada nos modelos de prevenção de fraudes, os fraudadores atuam principalmente na falta de conhecimento dos usuários sobre os processos de compra e venda eletrônica para aplicar a engenharia social e enganá-los"", ressaltou ela.
Já Monteiro aponta que os principais players do mercado investem em soluções de alta tecnologia para detectar e barrar atividades suspeitas, mas os usuários precisam ficar ligados. ""Seja em relação a promoções extremamente irrecusáveis em troca de dados cadastrais ou na hora de efetuar um pagamento (por boleto, cartão de crédito, transferência bancária ou PIX)"", diz.
Veja os que eles sugerem para você evitar cair em fraudes:
Evitar aplicativos de mensagem
O ideal, segundo as empresas, é negociar sempre pelos chats das plataformas de compra e venda. Isso porque os fraudadores preferem ambientes digitais em que não poderão ser rastreados.
Confirme o depósito pelo aplicativo do banco
Hoje em dia, é possível conferir seu extrato com facilidade. Use esse recurso para se prevenir de furadas.
Entrega do produto após confirmação do pagamento
Essa dica é fundamental. Só entregue o produto após ter certeza que recebeu o pagamento.
Desconfie dos compradores apressados
Segundo o estudo, essa é uma velha tática utilizada para que a pessoa entregue o produto antes da confirmação do pagamento. Siga o processo com calma.
E-mails
E-mails oficiais da empresa normalmente usam o nome da marca e não informações genéricas.
Vale a pena verificar também o domínio: empresas não costumam usar domínios de emails gratuitos, como Hotmail e Gmail, por exemplo.
WhatsApp verificado
Empresas também costumam ter o WhatsApp verificado, garantindo mais segurança ao processo de comunicação. Então, se não tiver o selo, fique com pé atrás."
142|"A Justiça condenou o Facebook e a Vivo a ressarcir uma vítima do ""golpe do WhatsApp"", em que golpistas roubam o perfil do usuário, se passam pela pessoa e tentam conseguir dinheiro de seus familiares e amigos com as mais diversas histórias.
O Facebook, dono do app de mensagens, e a Vivo, operadora de telefonia da cliente, foram condenados a pagar R$ 3.344,00 em decisão do Tribunal de Justiça de São Paulo.
CONTINUA APÓS PUBLICIDADE
No processo, a mulher alegou ter sido vítima de fraude em decorrência de falhas nos sistemas das duas empresas, com clonagem do seu chip e da conta do WhatsApp, o que permitiu que os golpistas usassem o app para enviar mensagens para os seus contatos.
Segundo a denunciante, a sua irmã caiu no golpe e fez uma transferência para os criminosos no valor de R$ 3.344.
Procurados, o WhatsApp afirmou que ""não comenta sobre casos de usuários específicos"", e a Vivo disse que irá acatar a decisão judicial, mas ""ressalta que não tem qualquer ingerência sobre o aplicativo de mensagem em questão"".
A Vivo ainda completou, em nota: ""À empresa cabe apenas a prestação do serviço de telecomunicações, que inclui o acesso à internet, que possibilita o uso de diferentes aplicativos de terceiros. A Vivo destaca ainda que apoia iniciativas para promover a conscientização de seus clientes sobre segurança no mundo digital, para ajudá-los a se proteger de ações mal-intencionadas.""
A sentença
Na ação, a vítima também pedia indenização por danos morais. A juíza Luciana Antoni Pagano, da 1ª vara do JEC (Juizados Especiais Cíveis) de Vergueiro/SP, acatou o pedido na sua sentença, estabelecendo o valor de R$ 3.000.
A juíza afirmou na decisão que está cada vez mais claro que os mecanismos de fraude e de clonagem estão sendo aperfeiçoados e, logo, as grandes empresas precisam tomar as medidas necessárias para evitar danos aos consumidores por criminosos.
""Diante desse quadro, merece acolhida a versão apresentada na inicial, corroborada pelos documentos acostados aos autos. Também merece ser acolhido o pedido de indenização por danos morais, tendo em vista que ser vítima de fraude (cometida por terceiro que se passou por sua pessoa no WhatsApp e solicitou dinheiro para sua lista de contatos) nitidamente configura muito mais do que mero aborrecimento ou transtorno cotidiano, atingindo a esfera da personalidade"", escreveu na sentença.
O Facebook e a Vivo recorreram. Agora em agosto, a maioria do grupo de juízes da Nona Turma Cível do Colégio Recursal Central da capital tiveram um outro entendimento. Para dois dos três magistrados, não ficou configurado o dano moral. ""Mero dissabor, aceitável inconveniente das relações de consumo"", decidiram.
Com isso, ficou decidido que a vítima tem direito aos R$ 3.344,00, valor que havia desembolsado para cobrir os prejuízos da irmã. A quantia ainda deve ser corrigida pela incidência de juros considerando o período em que a ação tramitou. Ainda cabe recurso.
Como se proteger de golpes dados via WhatsApp
Jamais compartilhe o código de ativação do WhatsApp;
Desconfie se a pessoa por trás da ligação/mensagem usar gírias, frases informais demais, cometer erros de português ou se comunicar como seu conhecido (no caso de algum amigo ou parente pedir dinheiro);
Fique ainda mais em alerta se no contato for pedido a instalação de algum programa em seu aparelho, exigirem pagamento e/ou informações pessoais (senhas, documentos pessoais);
Para aumentar a proteção, ative a verificação em duas etapas do WhatsApp (aprenda a configurar aqui). Mesmo que o criminoso consiga ter o seu código de verificação, ele vai precisar inserir também uma senha de seis dígitos criada por você. Ou seja, só sabendo essa informação para conseguir roubar o seu perfil.
Ainda em sua nota, a Vivo destacou que em seu site é possível encontrar informações de segurança sobre golpes online. Além disso, a empresa ressaltou a campanha #FiqueEsperto, iniciativa que une governo e entidades privadas para divulgar informações sobre como evitar golpes no ambiente digital.
*Com matéria de Guilherme Tagiaroli"
143|"Vídeo difundido pelo WhatsApp mostra senhora tendo todos seus dados bancários registrados ao fazer pagamento de comida; Procon-SP diz que golpes durante entregas têm crescido muito.
*Reportagem atualizada às 15h de 25 de julho de 2021 com a informação de que o caso está sendo investigado pela polícia
Um vídeo que mostra um novo tipo de golpe para clonagem de cartões durante entregas viralizou nos últimos dias em redes sociais e em grupos no WhatsApp em todo o Brasil.
CONTINUA APÓS PUBLICIDADE
O caso não é isolado: segundo o Procon de São Paulo, o número de registros de golpes do tipo durante entregas por aplicativos de comidas saltou 186% na comparação do acumulado entre janeiro e maio de 2021 e o mesmo período de 2020.
O vídeo, aparentemente gravado pelo celular do próprio entregador, registra o momento em que uma senhora recebe uma entrega de comida na porta de sua casa, em São Paulo.
Com a câmera ligada sem que ela perceba, o homem filma os números da frente e do verso do cartão de débito, enquanto distrai a cliente dizendo que aguarda sinal de satélite para conseguir fazer a cobrança.
""Vou pegar o sinalzinho da máquina, tá? Quando tem muito pedido na rua, elas (máquinas) ficam doidinhas"", diz ele, ao filmar frente e verso do cartão da senhora.
O rosto do entregador aparece com clareza, embora o da cliente não seja visível.
Após filmar os dados pessoais do cartão, o entregador se oferece para iluminar a maquininha enquanto a senhora digita a senha - quando ela aceita, o entregador acaba registrando também parte do código pessoal.
A BBC News Brasil tentou contato com a vítima do golpe, mas não obteve resposta até a publicação desta reportagem.
Procurada pela BBC News Brasil, a Secretaria de Segurança Pública de São Paulo afirmou no domingo (25/7) que o caso foi registrado em Boletim de Ocorrência e está sendo investigado em inquérito policial. O celular do motoboy foi apreendido e, havendo autorização judicial, seu conteúdo será analisado.
Em nota, a secretaria afirmou que ""é essencial o registro de ocorrências criminais, seja em delegacia física ou por meio da Delegacia Eletrônica, para que os crimes sejam devidamente investigados e os autores, presos. No caso de estelionato, a representação criminal por parte da vítima é necessária, conforme determina a lei"".
Dicas de prevenção do Procon-SP
As recomendações do Procon-SP para se proteger de golpes durante o delivery de comidas são:
Recusar máquinas com o visor quebrado ou que não permitam a leitura dos dados;
Conferir o valor da compra e, de preferência, pagar somente no aplicativo;
Não passar os seus dados por telefone;
Desconfiar caso o entregador informe que é necessário pagar algum valor extra;
""O consumidor deve procurar fazer o pagamento no momento do pedido, de forma online, evitando pagar na hora da entrega, que é o momento em que o golpe é aplicado. E lembrar que não existe taxa de entrega ou outra taxa extra. Qualquer ocorrência diferente deve ser comunicada à empresa"", diz em nota Fernando Capez, diretor do Procon-SP.
No caso específico do golpe citado no início desta reportagem, vale tomar cuidados extras, como manter o próprio cartão em mãos e prestar atenção redobrada ao apertar os números da senha.
Golpes mais comuns
Basta ter acesso a informações simples como data de validade, código de segurança, nome e número do cartão para se fazer determinadas compras online com o cartão alheio.
É por isso que, muitas vezes, falsários tentam simplesmente registrar imagens do cartão de suas vítimas.
Estas, sua vez, acabam tendo uma falsa sensação de segurança pelo fato de continuarem com o cartão em sua posse.
A Febraban (Federação Brasileira dos Bancos) detalhou como funcionam os principais golpes ligados a cartões registrados nos últimos meses no Brasil. Confira a seguir:
Funcionários falsos de banco
Usando gravações que imitam música e menus de centrais de bancos, falsários se apresentam como membros de centrais antifraude e pedem dados confidenciais de clientes.
WhatsApp
Se passando por funcionários de sites de compras, falsários clonam a conta de WhatsApp e a partir daí se passam pela vítima, enviando mensagens pedindo dinheiro para todos os seus contatos.
Troca de Cartões
Na hora do pagamento, atendentes mal-intencionados prestam atenção na senha usada pelo cliente ou pedem para que o código seja digitado no lugar do valor da compra. Ao registrarem a senha, eles entregam de volta outro cartão.
Falso Motoboy
Falsos funcionários de bancos telefonam para a vítima informando que seu cartão foi clonado e que um profissional buscará o cartão na casa do cliente. Muitas vezes, o falso funcionário quebra o cartão na frente da vítima, para que ela se senta mais segura. Mesmo quebrado, no entanto, o cartão continua podendo ser usado para compras online.
Lojas falsas
Normalmente perto de datas comerciais como Natal e Black Friday, vítimas recebem e-mails e mensagens de texto com supostos links promocionais para sites falsos que simulam grandes portais. Os dados são recolhidos e os produtos nunca são entregues. Por isso, a Secretaria de Segurança Pública de São Paulo recomenda que nunca se clique em links do tipo - é melhor digitar diretamente no seu navegador o site da loja desejada e fazer compras direto por esse caminho.
Vídeochamada
Pessoas se passando por funcionários convencem clientes de bancos a fazerem chamadas por vídeo quando usarem o caixa eletrônico. Assim, copiam todos os dados da vítima.
Cartão extraviado
Ladrões roubam cartas físicas de bancos com novos cartões e telefonam aos donos fingindo serem funcionários do banco. Após o cliente confirmar seus dados, eles conseguem desbloquear o cartão."
144|"Os primeiros seis meses do ano tiveram um monte de tentativas de golpes financeiros. Quem diz isso é a empresa de segurança Psafe, que calculou que houve uma detecção a cada seis segundos durante o período. Ao todo foram, 2,3 milhões de tentativas no primeiro semestre.
Por tentativas de golpe financeiro, a empresa se refere especificamente a ataques que visam o roubo de informações bancárias e de cartão de crédito. Na maioria das vezes, eles ocorrem via mensagem de texto enviada para o celular.
CONTINUA APÓS PUBLICIDADE
Relacionadas
Tentativa de golpe disparou com vazamentos de dados; veja como se proteger
Golpe do delivery causa prejuízos, mas de quem é a responsabilidade?
Receba notícias de Tilt no WhatsApp e no Telegram
""O cibercriminoso se passa por um banco solicitando o bloqueio ou desbloqueio de um cartão de crédito através de um link, ou pedindo a confirmação de dados bancários supostamente para bloquear uma compra não autorizada. A vítima, aflita e com medo de estar sofrendo uma fraude, é convencida a informar dados sensíveis que serão utilizados nos golpes"", explica Emilio Simoni, diretor do dfndr lab, o laboratório de segurança digital da Psafe, em comunicado.
A empresa de segurança cita ainda alguns agravantes que facilitaram a vida de golpistas neste ano. Em meados de fevereiro, houve o vazamento de uma grande base de dados consolidada, que contava com informações pessoais de milhares de brasileiros. A disponibilização dessas informações em fóruns facilita bastante a tarefa de criminosos.
""Se no passado, um banco ligasse para você, dissesse seu nome completo e CPF, você poderia confiar que era realmente alguém do banco ao telefone. Hoje em dia, com os criminosos de posse dessas informações vazadas, é preciso sempre desconfiar e não passar mais dados se não tiver certeza sobre quem está solicitando as informações"", diz Simoni.
O problema de ceder dados para estranhos é que cibercriminosos podem realizar compras virtuais, assinar serviços online ou ainda abrir contas em nome das vítimas.
Evitando golpes
Para reduzir o risco de golpes, fique esperto com:
Mensagens de texto via SMS solicitando informações bancárias ou códigos não solicitados
Links compartilhados via SMS, WhatsApp e redes sociais de modo geral. Nunca informe ou clique em links que você desconhece a procedência Empresas, como a própria Psafe, contam com soluções de segurança que ajudam a analisar links maliciosos
Acesso a redes wi-fi públicas ou sem senha para realizar transações financeiras. Nestes ambientes, pode haver um cibercriminoso monitorando seu acesso e o que você digita em seu dispositivo."
145|
146|"O boleto bancário é uma coisa muito brasileira. Virou uma modalidade popular por aqui, porque é uma alternativa para quem não têm conta em banco ou não tem um cartão de crédito —o que ainda é muita gente. De olho nisso, os criminosos aproveitam esse tipo de documento para aplicar golpes.
O grande problema, antigamente, é que o sistema que gera os boletos era ultrapassado e fácil de burlar, então pessoas mal-intencionadas conseguiam alterar dados documentos de formas tanto online quanto offline. Em 2018, um novo sistema foi adotado tornando o processo mais moderno e seguro —todos os boletos precisam ser registrados antes de serem emitidos, com informações do emissor e do pagador, como CPF/CNPJ, data de vencimento e valor.
CONTINUA APÓS PUBLICIDADE
Relacionadas
Recebeu no zap? Cesta básica do governo é golpe
Ofereceram conta verificada no Instagram? É golpe
O que fazer se receber notificação dizendo que foi hackeado?
Segundo a Febraban (Federação Brasileira de Bancos), o sistema eliminou os golpes envolvendo a adulteração de boletos físicos —o equivalente a R$ 450 milhões em fraudes por ano. Mas, ainda assim, a entidade ressalta que os golpistas estão sempre em busca de novas formas de se aproveitar dos consumidores e causar prejuízos. Então, fique esperto.
Aprenda como isso acontece e evite esse tipo de golpe:
Correspondência
Alguns golpistas conseguem enviar correspondências muito parecidas com as cobranças originais, alterando só alguns dados bancários. Por exemplo, em vez de o dinheiro ir para o banco X vai para uma conta do banco Y. Você paga a fatura falsa e só vai perceber que era a errada quando chega uma nova cobrança, dizendo que a fatura está em aberto.
O que fazer: preste atenção nos três primeiros números do documento e no campo ""Nosso Número"" (segunda sequência de 12 números do boleto bancário). Por exemplo: uma cobrança do banco Itaú que comece com o número 237 (do banco Bradesco) é falsa, pois o número do banco é 341.
Os códigos dos bancos podem ser encontrados no site da Febraban: http://www.buscabanco.org.br/
Boletos falsos geralmente têm o código de barras alterado para não serem lidos em leitores de caixa eletrônico ou de aplicativos bancários de celular. Caso seja impossível realizar a leitura, o cuidado com os números digitados deve ser redobrado, pois esse truque geralmente é feito para forçar a pessoa a digitar o número alterado.
Boleto verdadeiro traz informações iguais sobre o banco
Imagem: Reprodução/Kaspersky
Sites falsos de recálculo de boleto atrasado
Quando o boleto vence, algumas pessoas buscam na internet páginas para recalcular o novo valor do título com multas ou taxas embutidas. Alguns desses sites pedem para o usuário digitar todas as informações do boleto e prometem gerar uma cobrança com o valor novo. Cuidado, essas páginas burlam os códigos do título, substituindo-os para uma conta diferente para transferência.
O que fazer: Apenas emita boletos no site oficial do banco ou da empresa que está fazendo a cobrança.
Boletos via email
Um dos golpes clássicos envolvendo boleto é o envio de spams com supostas cobranças aos usuários. Eles, geralmente, chegam com alguma mensagem alarmante do tipo ""urgente, boleto em aberto"" ou ""sua dívida ainda continua no nosso sistema"".
Além disso, há sempre um link ou anexo que leva o usuário para uma página falsa para gerar o boleto ou instalar um trojan [programa que abre a porta do seu computador para invasões], que troca os códigos do boleto quando o usuário emitir pela internet.
O que fazer: Tome cuidado com mensagens de emails com esse teor. Apenas emita boletos no site oficial do banco ou da empresa que está fazendo a cobrança. Dificilmente, as empresas fazem cobrança por email.
A Febraban recomenda que as pessoas usem a forma de pagamento DDA (Débito Direto Autorizado). Com isso, você autoriza que quem está fazendo a cobrança envie uma notificação de pagamento, que você precisa autorizar para ser paga. Procure seu banco para entender como funciona na sua conta.
Ataque via página clonada
Há uma evolução do golpe do boleto que é praticamente invisível para o usuário. É um ataque que altera as configurações do roteador (aparelho usado para compartilhar a internet do usuário). O criminoso coloca um código num site que faz aparecer automaticamente uma janela para login no roteador. Ao digitar as informações, as informações do equipamento são reconfiguradas para sempre abrir uma página falsa do banco.
O que fazer: Conecte-se apenas a redes wi-fi protegidas com senha e mude as configurações padrões do seu roteador. A maioria das pessoas esquece de trocar essas informações. Geralmente, o login de acesso é padrão e pode ser facilmente achado na internet, facilitando a vida dos cibercriminosos.
Sites falsos costumam ter layouts com erros de português ou configurações estranhas. Fique de olho.
Extensões duvidosas
Extensões instaladas no navegador podem facilitar algumas tarefas, mas algumas são maliciosas e ficam inativas até que você tentar gerar o boleto. Ao realizar o processo, o título será alterado por um código da extensão.
O que fazer: Procure usar extensões de serviços confiáveis e desconfie de recursos estranhos, como ""mudar a cor do Facebook"". Funções mirabolante são na maioria das vezes uma forma de golpistas obterem dados dos usuários.
Golpe do vendedor falso
O criminoso cria anúncios falsos de um produto em um marketplace (plataforma online de comércio de produtos), faz uma conta em carteiras virtuais, adquire cartões pré-pagos e gera boletos que direcionem o pagamento para uma conta do golpista. Como o anúncio do produto/serviço era falso, o cliente nunca recebe o que comprou.
Pior, em casos assim o marketplace não é obrigado a se responsabilizar pelo golpe, uma vez que o pagamento não foi realizado pela plataforma e a negociação foi direcionada para fora do ambiente ""seguro"" da empresa.
O que fazer: Para evitar esse tipo de golpe, compre e realize pagamentos dentro da plataforma dos marketplaces. Confira se está mesmo no site certo, olhe as avaliações da loja em outros sites, como o Reclame Aqui, e observe se a plataforma onde a loja está conta com uma boa análise cadastral e de risco na hora de aceitar a abertura de conta de vendedores.
Sequestro de estoque
Este golpe é mais complexo e é direcionado para quem vende produtos. Funciona assim: uma empresa concorrente (e desonesta) utiliza o boleto bancário para comprar de uma vez vários produtos que estão em promoção em outra loja virtual. Quando o boleto é gerado, os produtos ficam reservados para o comprador por um período. Consequentemente, ficam indisponíveis para outras pessoas/empresas efetuarem a compra.
A empresa que ""adquiriu"" os produtos não efetua o pagamento —e não faz mais nada. Com isso, o lojista deixa de vender e lucrar, pois seu estoque foi ""sequestrado"" em uma prática desleal.
O que fazer: Esse tipo de golpe é mais comum em datas sazonais. Para evitar prejuízos, o comerciante deve ter uma solução antifraude que seja capaz de realizar a análise de pedidos em boleto e identificar comportamentos suspeitos.
E uma dica que vale sempre: mantenha o sistema operacional do seu computador ou celular sempre atualizado e tenha um programa de segurança (como antivírus) instalado e em dia.
Fontes: Fábio Assolini, analista sênior da Kaspersky; Soraia Panella, coordenadora de atendimento do Procon-Rio; Konduto.
Caixa Auxílio Emergencial: passo a passo de como usar o app
+5"
147|
