;text
0;"Um levantamento listou oscinco malwares – softwares criados com fins maliciosos – responsáveis pelo maior número de ataques cibernéticos no Brasil durante os três primeiros meses de 2025. Os dados são da ESET, empresa desenvolvedora de softwares de segurança cibernética. O tipo de malware que mais aparece na lista são ostrojans(ou cavalos de troia) bancários, programas que se disfarçam de softwares legítimos para enganar o usuário, que acaba por instalar o programa malicioso em seu sistema. Segundo a empresa, esse cenário reflete uma sofisticação crescente doscriminosos que visam o público brasileiro. criminosos que visam o público brasileiro Veja a lista: Spy.Guildma.CU – 12,21% Spy.Delf.RAY – 10,21% VB.OSK – 7,77 Spy.Guildma.CV – 4,52% Rozena.SL (64-bit) – 4,45% Otrojanda família Guildma aparece duas vezes no ranking, sendo bem comum no Brasil. O malware, que finge ser um programa legítimo para atrair o usuário, possui funcionalidades como captura de tela, emulação de teclado e mouse e capacidade de baixar outros arquivos danosos ao sistema operacional. O Delf, outrotrojanfinanceiro, conseguemanipular o tráfego na internet e instalar ou remover softwares para comprometer a máquina. Em terceiro lugar, aparece o VB, umworm– programa malicioso que se replica e se espalha sozinho através de uma rede – que é capaz dedestruir o sistema e se infiltrar em arquivos de imagem e documentos, de maneira a se camuflar como pastas de arquivos. Último da lista, o Rozena.SL se trata de um malware debackdoor,um programa que explora vulnerabilidades já conhecidas do sistema para permitir que um invasor consiga acesso de maneira remota. Como evitar a exposição a malwares? Segundo a ESET Brasil, algumas medidas recomendadas para evitar a exposição a malwares e o comprometimento dos sistemas são: atualizar seus softwares constantemente; atualizar as ferramentas de segurança constantemente; evitar armadilhas, comobaixar arquivos de origem duvidosa ou clicar em links suspeitos."
1;"O Conselho Nacional de Combate à Pirataria e Delitos contra a Propriedade Intelectual (CNCP), órgão da Secretaria Nacional do Consumidor (Senacon), do Ministério da Justiça e Segurança Pública (MJSP), encaminhou à Organização Mundial da Propriedade Intelectual (OMPI), agência das Nações Unidas, uma nova lista para ser inserida na plataforma Wipo Alert com 7.931 links que foram alvo de fiscalização e estão sob ordem de bloqueio de acesso. A plataforma FOI criada pela OMPI para auxiliar no combate à pirataria digital e outros crimes. O sistema Wipo Alert funciona como um banco de dados de acesso restrito e permite que autoridades e detentores de direitos em diversos países compartilhem informações sobre infratores e tenham resposta rápida e coordenada contra a pirataria on-line, de acordo com o ministério. O Conselho ainda deve notificar indexadores de conteúdo na internet, ao solicitar que os mecanismos de busca desindexem os links reportados e monitorem possíveis tentativas de violação das ordens de bloqueio. A retirada dessas páginas dos resultados de busca considerada é fundamental para reduzir a exposição dos consumidores a conteúdos ilegais, fraudes e esquemas de monetização ilícita. A medida acontece após o CNCP bloquear de 393 sites ilegais no Brasil. Além de garantir a proteção da propriedade intelectual, o Wipo Alert desempenha importante papel na segurança cibernética global, ao prevenir fraudes e crimes digitais frequentemente facilitados por sites piratas, de acordo com o secretário-executivo do CNCP, Andrey Corrêa. “Esse mecanismo de colaboração internacional é um exemplo claro de como a cooperação entre países e organizações fortalece a luta contra atividades criminosas no ambiente digital"", afirma. Os links reportados permanecem sob sigilo para impedir novas infrações e evitar a replicação das plataformas em novos domínios. A inclusão desses sites no sistema Wipo Alert permite que detentores de direitos e autoridades internacionais tenham conhecimento das infrações, ampliando o alcance das medidas de proteção à propriedade intelectual e ao consumidor."
2;"A Polícia Civil de Rondônia deflagrou na manhã desta quinta-feira (19) uma operação contra um grupo suspeito de utilizar plataformas digitais para promover práticas de automutilação, suicídio, planejamentos de ataques a escolas, além de coagir adolescentes a compartilhar conteúdos íntimos em esquemas conhecidos por ""escravização virtual"". A operação aconteceu em conjunto com as polícias civis dos estados de São Paulo, Distrito Federal, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Sul, Bahia e Minas Gerais, e cumpriu 11 mandados de busca e apreensão domiciliar, dois mandados de apreensão de adolescente e um mandado de prisão. Em Rondônia, as investigações resultaram no cumprimento de dois mandados de busca e apreensão domiciliar e um mandado de internação provisória de adolescente. Os mandados foram cumpridos nas cidades de Brasília (DF), Guarapuava (PR), São Paulo (SP), Ruy Barbosa (BA), Belo Horizonte e Ribeirão das Neves (MG), Santa Maria (RS) e Espigão D’Oeste (RO), Ipojuca (PE) e Rio de Janeiro (RJ). A investigação foi iniciada pela Delegacia Especial de Repressão aos Crimes Cibernéticos do Distrito Federal, e gerou uma ação integrada coordenada pelo Laboratório de Operações Cibernéticas, que desencadeou as diligências pelas demais polícias civis. A polícia destaca que os suspeitos devem responder por instigação ou auxílio ao suicídio ou automutilação, apologia de crime, associação criminosa e até mesmo estupro de vulnerável praticado por meio virtual. * ob supervisão"
3;"Um estudo realizado pela SaferNet, organização de defesa dos direitos humanos na internet, revelou que mais de 1,25 milhão de usuários do Telegram no Brasil participam de grupos que comercializam e compartilham imagens de abuso sexual e pornografia infantil. A pesquisa, divulgada nesta semana, analisou 874 links denunciados por usuários e constatou a persistência de crimes cibernéticos, como a venda de material pornográfico infantil e a divulgação de nudez não consentida, mesmo após denúncias. A SaferNet atribui a persistência desses crimes à falta de moderação efetiva por parte do Telegram e à complexidade do esquema de pagamentos envolvendo criptomoedas e empresas de fintechs internacionais. Dados alarmantes O relatório da SaferNet expõe um cenário alarmante. A plataforma, conhecida por sua criptografia robusta e foco na privacidade, tem sido utilizada por criminosos sexuais para criar um ambiente virtual protegido para a prática de seus crimes. A SaferNet mapeou os links denunciados e identificou que 17% deles continuavam ativos, com usuários e administradores cometendo diversos crimes. A organização também encontrou 66 novos links com conteúdo criminoso semelhante, demonstrando a escala do problema. Somente em uma das comunidades ainda ativas com comercialização e distribuição de imagens de abuso e exploração sexual infantil no Telegram, a SaferNet contou 200 mil usuários. No total, os grupos, comunidades, canais e demais links do aplicativo contendo esse tipo de conteúdo contavam com mais de 1,25 milhão de usuários. A pesquisa da SaferNet culminou em um extenso relatório de 21 páginas, incluindo três anexos técnicos, que foi submetido à Procuradoria Regional dos Direitos do Cidadão do Ministério Público Federal (MPF) em São Paulo. O documento detalha os links denunciados que apresentam indícios claros de crimes, servindo como base para futuras investigações criminais e cíveis. Plataforma lidera denúncias recebidas por ONG De acordo com a SaferNet, a plataforma Telegram lidera os acasos de denúncia de ""pornografia infantil"", no canal de denúncia da ONG, desde 2021. Em 2022 e 2023, o Telegram ficou entre os cinco aplicativos mais denunciados por pornografia infantil. Somente em 2023, a SaferNet registrou um aumento de 77% nas denúncias, totalizando 3274 casos. O que diz o Telegram Procurado pelaCNN, o Telegram chamou de ""absurdo"" os números de usuários brasileiros em grupos de pornografia infantil, indicados pela ONG. A plataforma alega que mantém um rigoroso sistema para combater ativamente a disseminação desse tipo de conteúdo, além de ""tolerância zero"" com a prática. Segundo a empresa, ""qualquer mídia enviada no Telegram"" é verificada contra materiais relacionados a abuso sexual infantil ""por uma equipe de centenas de moderadores profissionais nos últimos dez anos e quaisquer contas que tentem postar esse conteúdo são banidas imediatamente"". ""Além disso, os moderadores são auxiliados por IA [inteligência artificial] e aprendizado de máquina para aprimorar as capacidades de moderação. Quase 42.000 grupos e canais relacionados a CSAM [material de abuso sexual infantil, na tradução para o português] foram removidos até agora em outubro."" Ainda de acordo com a empresa, ""em agosto, os moderadores fizeram uma varredura nos resultados do recurso de pesquisa do Telegram para identificar e remover todo o conteúdo prejudicial que pudesse ser encontrado"". ""As ferramentas de denúncia para usuários também foram expandidas para que os usuários possam especificar mais tipos de conteúdo para um processamento eficiente por moderadores e IA. Estamos expandindo ativamente nossas equipes de moderação e trabalhando em parcerias estratégicas com mais organizações para ampliar os conjuntos de dados de detecção que nossos sistemas usam para identificar proativamente conteúdo prejudicial durante tentativas de publicação."" Por fim, o Telegram diz que tem um e-mail para recebimento de denúncias contra conteúdos de abuso infantil: stopca@telegram.org. ""As denúncias lá geralmente são processadas ​​em duas horas"", diz a empresa."
4;Um homem foi preso por tráfico de drogas, nesta sexta-feira (18), durante uma operação contra golpistas cibernéticos, em São Paulo. O suspeito estava com grande quantidade de ecstasy, maconha e metanfetamina. Foram cumpridos mandados de busca e apreensão em 19 locais durante a chamada ‘Operação Evil Doll’, cujo objetivo é combater um esquema de golpe utilizando fraude no reconhecimento facial possibilitando o desvio de valores. As ações aconteceram nos municípios de Guarulhos, Embu das Artes e Taboão da Serra, na Grande São Paulo, e Santos, no Litoral, e contaram com apoio de policiais locais da Divisão Especializada de Investigações Criminais. Segundo o Departamento Estadual de Investigações Criminais (Deic), em um dos casos o prejuízo atingiu o valor de R$ 251 mil. A investigação sobre o esquema acontece desde fevereiro de 2023. De acordo com o departamento de investigação, golpistas utilizaram fotos dos rostos das vítimas, imagens chamadas de ‘bonecos’, para driblar o sistema de reconhecimento facial das instituições financeiras.19 envolvidos no crime foram identificados. A operação foi realizada por policiais da 4ª Delegacia DCCiber (Investigações sobre Lavagem de Dinheiro e Ativos Ilícitos).
5;"Ela aparentava ser uma mulher bonita e, na mente de vários homens ao redor da Ásia, as chamadas de vídeo em que eles conversavam confirmavam que aquele novo romance era real. Masa polícia de Hong Kongafirma que os homens foram vítimas de um golpe amoroso que usava inteligência artificialdeepfakepara atrair suas vítimase fazê-las desembolsar mais de US$ 46 milhões. a polícia de Hong Kong para atrair suas vítimas Em uma coletiva de imprensa na segunda-feira (14), as autoridades anunciaram a prisão de mais de 24 pessoas que fariam parte de um suposto esquema fraudulento, que, segundo eles, tinha como alvo homens de Taiwan à Cingapura e de lugares distantes como a Índia. A polícia disse que os 21 homens e as seis mulheres foram detidos sob acusações que incluem conspiração para fraude após uma operação no suposto centro operacional da quadrilha em uma unidade industrial de cerca de 1200 m² no distrito de Hung Hom, na cidade. Os suspeitos, com idades entre 21 e 34 anos, eram, em sua maioria, bem-educados, muitos deles graduados em mídia digital e tecnologia, supostamente recrutados pela gangue após frequentarem universidades locais, informou a polícia. Os suspeitos teriam trabalhado com especialistas em TI no exterior para criar uma plataforma falsa de criptomoeda, onde as vítimas eram coagidas a fazer investimentos, acrescentou a polícia. Odeepfakeeram feito através de vídeo, áudio e outros conteúdos falsos realistas criados com a ajuda de IA.A tecnologia tem sido cada vez mais utilizada por vários pessoas mal-intencionadas, desde daquelas que desejam espalhar desinformação até golpistas on-line. A tecnologia tem sido cada vez mais utilizada por vários pessoas mal-intencionadas Os golpes ficaram conhecidos como“Pig-butchering” (esquartejamento de porcos) - uma vez que o objetivo era “engordar” as vítimas antes de tirar tudo o que elas têm. Tratava-se de um setor ilícito multibilionário no qual os golpistas assumiam identidades on-line falsas e passavam meses preparando seus alvos para levá-los a investir em sites de criptografia falsos. Odeepfakeforam apenas mais uma arma do arsenal desses golpistas para tentar convencer os usuários desavisados a investir dinheiro. Em geral, o crime é praticado por gangues chinesas fora do Sudeste Asiático, mas não se sabe ao certo o quanto ele é difundido em Hong Kong, uma cidade rica onde a polícia há muito tempo tem feito campanhas para aumentar a conscientização sobre golpes telefônicos após vários casos de grande repercussão em que as vítimas - geralmente idosos - relataram perdas incrivelmente altas. Mas a tecnologiadeepfake, cada vez mais realista, aumentou os riscos e colocou as autoridades em alerta máximo. No início deste ano, uma empresa multinacional britânica de design e engenharia em Hong Kong perdeu US$ 25 milhões para fraudadores depois que um funcionário ser enganado por golpistas que usaram a tecnologiadeepfakepara se passar por seu diretor financeiro e outros funcionários. De acordo com a polícia de Hong Kong, o esquema dedeepfakeda gangue geralmente começava com uma mensagem de texto, na qual o remetente - disfarçado de uma mulher atraente - dizia que havia adicionado o número errado por engano. Os supostos golpistas, então, iniciavam romances on-line com suas vítimas, promovendo um senso de intimidade e até começarem a planejar um futuro juntos. O grupo era altamente organizado, dividido em departamentos encarregados de diferentes estágios do golpe, segundo a polícia. Eles até usavam um manual de treinamento para ensinar os integrantes a aplicar o golpe, aproveitando-se da “sinceridade e emoção da vítima”, afirmou as autoridades policiais, que publicaram partes do manual no Facebook. Entre as etapas estavam: aprender sobre a visão de mundo da vítima para criar uma persona “sob medida”; inventar dificuldades, como relacionamentos ou negócios fracassados, para “aprofundar a confiança da outra pessoa”; e, por fim, apresentar uma “bela visão”, incluindo planos de viagem, para convencer a vítima a investir. O golpe funcionou por cerca de um ano antes de a polícia receber informações sobre ele por volta de agosto, afirma a polícia. Na operação, a polícia recuperou mais de 100 telefones celulares, o equivalente a quase US$ 26.000 em dinheiro e vários relógios de luxo."
6;O Amazonas registrou 7.254 casos decrimes cibernéticosem todo estado, entre janeiro e agosto de 2024. Os números fazem parte do Painel de Indicadores Criminais, da Secretaria de Segurança Pública (SSP). crimes cibernéticos Os números dos oito primeiros meses do ano representam aumento de 53,9% em relação ao mesmo período de 2023. No ano passado foram registrados 4.712, entre janeiro e agosto. Os números até agosto deste ano quase equivale a todos os registros feitos em 2023. Entre janeiro e dezembro do ano passado, a SSP-AM contabilizou 7.751. Isso significa que se o estado continuar com a média de mais de 906 crimes cibernéticos por mês, em 2024, o crescimento pode chegar a 40%, em relação aos dados do ano anterior. Estelionato e hackers lideram denúncias Entre os crimes em destaque no painel de dados da SSP-AM, destacam-se os crimes de estelionato, invasão de dispositivo informático, ameaça e falsa identidade. Os dois primeiros estão entre os crimes mais comuns no estado, liderando os registros, tanto em 2023 quanto em 2024. Todas as modalidades de crime apresentam aumento nas ocorrências entre os períodos comparados. O painel revela que os crimes de estelionato cresceram 57,4% em 2024. No ano passado, foram 2.358 registros. Em 2024 foram 3.713, entre janeiro e agosto. Ataques de hackers por invasão de dispositivo informático, também apresentaram leve alta de 12,4%. Os dados de 2023 apontam 1.119 ocorrências, diante de 1.258 em 2024. O crime de ameaça e falsidade ideológica registraram crescimento de 57,8% e 20,7%, respectivamente. Os registros de ameaça em 2023 mostram 557 ocorrências, ante 879 no período de 2024. Entre janeiro e agosto, falsidade ideológica foi de 553 para 668 casos.
7;Uma operação da Polícia Civil do Pará, com apoio da Polícia Civil Paulista, prendeu em São Paulo 32 suspeitos de aplicarem diversos golpes cibernéticos contra moradores do estado da região Norte, entre outros. Em três dias, os policiais cumpriram 103 mandados de busca e apreensão em 12 municípios no território paulista. Batizada de Operação Guardião, a ação tem como alvo redes de criminosos responsáveis por crimes cibernéticos, como falsos leilões de veículos, golpe em plataformas de vendas, tabela pix, invasões de contas de redes sociais, invasões e “clonagens” de WhatsApp e crimes contra vulneráveis, envolvendo pornografia infantil, discursos extremistas, ciberbullying, entre outros. O delegado-geral da Polícia Civil do Pará, Walter Resende, explica que o grupos, estabelecidos em São Paulo, praticavam os crimes contra cidadãos paraenses, e de outros estados: “São grupos diferentes. Além do falso leilão de veículos, eles invadem contas de Instagram, e se passam pelo usuário para pedir dinheiro, outro crime comum é esse em que a pessoa vê um anúncio de veículo cujo valor está sendo ofertado com uma diferença (menor) muito grande. Nossa equipe também está cumprindo mandados contra criminosos que praticam crimes contra crianças e adolescentes”. Entre os presos na capital paulista, estão um homem e uma mulher que atuavam no golpe do falso leilão. Eles não tiveram os nomes divulgados. De acordo com o delegado Renzo Zorzi, do Departamento de Operações Policiais Estratégicas, os criminosos replicavam sites verdadeiros, colocavam valores menores nos veículos e tiravam os sites do ar após os golpes.
8;As autoridadesaustralianasestão investigando a distribuição de imagens pornográficas falsas de cerca de 50 estudantes, supostamente criadas por um adolescente usandointeligência artificial. australianas inteligência artificial. A descoberta ocorre no momento em que o governo federal pressiona por novas leis para impor penas de prisão aos infratores que criam e compartilham imagens feitas por ferramentas de IA para humilhar vítimas. Outros países, incluindo os Estados Unidos, também tentam abordar um aumento alarmante da pornografia deepfake, em que são criados e compartilhados falsos nudes de estudantes – em alguns casos, as falsificações são feitas por colegas de escola. A Polícia de Victoria confirmou que prendeu e libertou um adolescente “em relação a imagens explícitas circulando online” enquanto se aguarda novas investigações. As imagens foram supostamente criadas a partir de fotos postadas nas redes sociais de 50 alunas da Bacchus Marsh Grammar, nos arredores de Melbourne, em Victoria. O diretor da escola, Andrew Neal, disse à Australian Broadcasting Corporation (ABC) que as vítimas eram meninas do 9º ao 12º ano, indicando uma possível faixa etária entre 14 e 18 anos. A idade e a identidade do menino são desconhecidas, mas Neal disse à ABC que “a lógica sugere que o [agressor] é alguém da escola”. Em declarações à ABC na quarta-feira (12), a mãe de uma estudante da Bacchus Marsh Grammar de 16 anos, cuja imagem não foi usada, disse que sua filha vomitou ao ver as fotos. “Fui buscar minha filha em uma festa do pijama e ela estava muito chateada, vomitando e foi incrivelmente gráfico”, disse a mãe à ABC Radio Melbourne, citando apenas seu primeiro nome, Emily. A escola disse em comunicado que estava oferecendo aconselhamento aos alunos e auxiliando a polícia em sua investigação. “O bem-estar dos alunos da Bacchus Marsh Grammar e de suas famílias é de suma importância para a escola e está sendo abordado”, disse o comunicado. Luta legal para impedir deepfakes As empresas de redes sociais, incluindo a X e aMeta, afirmam que toda a pornografia não consensual é proibida nas suas plataformas, mas as imagens explícitas geradas pela IA continuam a se espalhar rapidamente online. Meta Em novembro passado, a estudante do ensino médio de Nova Jersey, Francesca Mani, de 14 anos, liderou demandas públicas por uma repressão federal nos EUA contra a pornografia deepfake gerada por IA, dizendo que imagens dela e de dezenas de seus colegas de classe na Westfield High School haviam sido manipuladas. Vítimas de destaque de imagens explícitas adulteradas incluem Taylor Swift e a congressista de Nova York Alexandria Ocasio-Cortez. Em março, Ocasio-Cortez sugeriu uma legislação federal – a Lei Disrupt Explicit Forged Images and Non-Consensual Edits Act de 2024 (DEFIANCE Act) – para dar às vítimas o poder de processar pessoas que criem deepfakes não consensuais delas. No entanto, a legislação bipartidária, apoiada por republicanos sêniores, não conseguiu aprovar uma moção de consentimento unânime na quarta-feira, de acordo com uma declaração da Comissão do Senado sobre o Judiciário. Victoria é o único estado australiano onde o compartilhamento de pornografia deepfake é crime. Em 2022, o governo estadual introduziu penas de prisão de três anos para o uso de tecnologia para gerar ou compartilhar material de abuso infantil ou material sexualmente explícito sem consentimento. Este mês, o governo australiano também deu início ao processo legislativo que deve criminalizar a distribuição de pornografia deepfake em todo o país. De acordo com a lei proposta, os infratores podem pegar até seis anos de prisão por compartilharem material deepfake não consensual, sexualmente explícito. Se o infrator também tiver criado conteúdo deepfake compartilhado sem permissão, a pena poderá subir para sete anos de prisão. Faz parte da resposta do país à violência baseada no género que o primeiro-ministro Anthony Albanese chamou de “crise nacional”. Até agora, este ano, 35 mulheres foram mortas, de acordo com o projecto Counting Dead Women – muitas alegadamente por parceiros atuais ou antigos. No mês passado, o governo estadual nomeou um Secretário Parlamentar para a Mudança de Comportamento dos Homens, uma novidade australiana. Na sua nomeação, o deputado Tim Richardson disse que se concentraria no impacto da Internet e das redes sociais nas atitudes dos homens em relação às mulheres. Num comunicado divulgado na quarta-feira, a premiê do estado de Victoria, Jacinta Allan, disse que as supostas ações do adolescente eram “vergonhosas e misóginas”. “Mulheres e meninas merecem respeito nas aulas, online e em qualquer outro lugar da nossa comunidade, e é por isso que criamos leis contra este comportamento e estamos ensinando relações respeitosas nas escolas para acabar com a violência antes que ela comece”, disse Allan.
9;A Polícia Civil de Minas Gerais deflagrou nesta terça-feira (30) uma operação para desmantelar uma organização criminosa especializada no crime cibernético conhecido como golpe do leilão. As polícias do Paraná e de São Paulo participaram da ação. Dois mandados de prisão, contra um homem de 27 anos e uma mulher de 23, e outras três ordens judiciais de busca e apreensão foram cumpridos nas cidades de Curitiba e São José dos Pinhais, ambas no Paraná. De acordo com as investigações, o grupo investigado agia em diversas cidades, entre elas Frutal e Uberlândia, no interior de Minas, e em Curitiba e Rolândia, no Paraná. A organização criminosa teria movimentado mais de R$ 1 milhão em um único mês. Além das prisões foram apreendidos também celulares, que serão analisados pela polícia. Como funciona o golpe O golpe do falso leilão consiste na criação de páginas na internet que simulam ser legítimas. No caso investigado, os suspeitos criaram um site de leilão com o endereço semelhante ao verdadeiro. Assim, ao pesquisarem na internet, muitas vítimas acessavam o site falso acreditando estarem acessando a página oficial. Ao arrematar um suposto veículo, as vítimas eram direcionadas para uma conversa em aplicativo de mensagens, sob o pretexto da finalização das tratativas. Nesse momento, os suspeitos solicitavam transferências via Pix para contas de terceiros. De acordo com o delegado João Carlos Garcia Pietro Júnior, muitos dos suspeitos que recebiam os valores resultantes do golpe estavam cientes do esquema criminoso. Uma das investigadas, segundo a polícia, confessou ter sido recrutada para receber os valores.
