|index|text|flg_crime|cat_crime
0|0|Um levantamento listou oscinco malwares softwares criados com fins maliciosos responsáveis pelo maior número de ataques cibernéticos no Brasil durante os três primeiros meses de 2025. Os dados são da ESET  empresa desenvolvedora de softwares de segurança cibernética. O tipo de malware que mais aparece na lista são ostrojans(ou cavalos de troia) bancários  programas que se disfarçam de softwares legítimos para enganar o usuário  que acaba por instalar o programa malicioso em seu sistema. Segundo a empresa  esse cenário reflete uma sofisticação crescente doscriminosos que visam o público brasileiro. criminosos que visam o público brasileiro Veja a lista: Spy.Guildma.CU 12 21% Spy.Delf.RAY 10 21% VB.OSK 7 77 Spy.Guildma.CV 4 52% Rozena.SL (64 bit) 4 45% Otrojanda família Guildma aparece duas vezes no ranking  sendo bem comum no Brasil. O malware  que finge ser um programa legítimo para atrair o usuário  possui funcionalidades como captura de tela  emulação de teclado e mouse e capacidade de baixar outros arquivos danosos ao sistema operacional. O Delf  outrotrojanfinanceiro  conseguemanipular o tráfego na internet e instalar ou remover softwares para comprometer a máquina. Em terceiro lugar  aparece o VB  umworm– programa malicioso que se replica e se espalha sozinho através de uma rede que é capaz dedestruir o sistema e se infiltrar em arquivos de imagem e documentos  de maneira a se camuflar como pastas de arquivos. Último da lista  o Rozena.SL se trata de um malware debackdoor um programa que explora vulnerabilidades já conhecidas do sistema para permitir que um invasor consiga acesso de maneira remota. Como evitar a exposição a malwares? Segundo a ESET Brasil  algumas medidas recomendadas para evitar a exposição a malwares e o comprometimento dos sistemas são: atualizar seus softwares constantemente atualizar as ferramentas de segurança constantemente evitar armadilhas  comobaixar arquivos de origem duvidosa ou clicar em links suspeitos.|S|CIBERCRIME BANCÁRIO
1|2|A Polícia Civil de Rondônia deflagrou na manhã desta quinta feira (19) uma operação contra um grupo suspeito de utilizar plataformas digitais para promover práticas de automutilação  suicídio  planejamentos de ataques a escolas  além de coagir adolescentes a compartilhar conteúdos íntimos em esquemas conhecidos por escravização virtual. A operação aconteceu em conjunto com as polícias civis dos estados de São Paulo  Distrito Federal  Paraná  Pernambuco  Rio de Janeiro  Rio Grande do Sul  Bahia e Minas Gerais  e cumpriu 11 mandados de busca e apreensão domiciliar  dois mandados de apreensão de adolescente e um mandado de prisão. Em Rondônia  as investigações resultaram no cumprimento de dois mandados de busca e apreensão domiciliar e um mandado de internação provisória de adolescente. Os mandados foram cumpridos nas cidades de Brasília (DF)  Guarapuava (PR)  São Paulo (SP)  Ruy Barbosa (BA)  Belo Horizonte e Ribeirão das Neves (MG)  Santa Maria (RS) e Espigão D’Oeste (RO)  Ipojuca (PE) e Rio de Janeiro (RJ). A investigação foi iniciada pela Delegacia Especial de Repressão aos Crimes Cibernéticos do Distrito Federal  e gerou uma ação integrada coordenada pelo Laboratório de Operações Cibernéticas  que desencadeou as diligências pelas demais polícias civis. A polícia destaca que os suspeitos devem responder por instigação ou auxílio ao suicídio ou automutilação  apologia de crime  associação criminosa e até mesmo estupro de vulnerável praticado por meio virtual. * ob supervisão|S|OUTROS CIBERCRIMES
2|3|Um estudo realizado pela SaferNet  organização de defesa dos direitos humanos na internet  revelou que mais de 1 25 milhão de usuários do Telegram no Brasil participam de grupos que comercializam e compartilham imagens de abuso sexual e pornografia infantil. A pesquisa  divulgada nesta semana  analisou 874 links denunciados por usuários e constatou a persistência de crimes cibernéticos  como a venda de material pornográfico infantil e a divulgação de nudez não consentida  mesmo após denúncias. A SaferNet atribui a persistência desses crimes à falta de moderação efetiva por parte do Telegram e à complexidade do esquema de pagamentos envolvendo criptomoedas e empresas de fintechs internacionais. Dados alarmantes O relatório da SaferNet expõe um cenário alarmante. A plataforma  conhecida por sua criptografia robusta e foco na privacidade  tem sido utilizada por criminosos sexuais para criar um ambiente virtual protegido para a prática de seus crimes. A SaferNet mapeou os links denunciados e identificou que 17% deles continuavam ativos  com usuários e administradores cometendo diversos crimes. A organização também encontrou 66 novos links com conteúdo criminoso semelhante  demonstrando a escala do problema. Somente em uma das comunidades ainda ativas com comercialização e distribuição de imagens de abuso e exploração sexual infantil no Telegram  a SaferNet contou 200 mil usuários. No total  os grupos  comunidades  canais e demais links do aplicativo contendo esse tipo de conteúdo contavam com mais de 1 25 milhão de usuários. A pesquisa da SaferNet culminou em um extenso relatório de 21 páginas  incluindo três anexos técnicos  que foi submetido à Procuradoria Regional dos Direitos do Cidadão do Ministério Público Federal (MPF) em São Paulo. O documento detalha os links denunciados que apresentam indícios claros de crimes  servindo como base para futuras investigações criminais e cíveis. Plataforma lidera denúncias recebidas por ONG De acordo com a SaferNet  a plataforma Telegram lidera os acasos de denúncia de pornografia infantil  no canal de denúncia da ONG  desde 2021. Em 2022 e 2023  o Telegram ficou entre os cinco aplicativos mais denunciados por pornografia infantil. Somente em 2023  a SaferNet registrou um aumento de 77% nas denúncias  totalizando 3274 casos. O que diz o Telegram Procurado pelaCNN  o Telegram chamou de absurdo os números de usuários brasileiros em grupos de pornografia infantil  indicados pela ONG. A plataforma alega que mantém um rigoroso sistema para combater ativamente a disseminação desse tipo de conteúdo  além de tolerância zero com a prática. Segundo a empresa  qualquer mídia enviada no Telegram é verificada contra materiais relacionados a abuso sexual infantil por uma equipe de centenas de moderadores profissionais nos últimos dez anos e quaisquer contas que tentem postar esse conteúdo são banidas imediatamente. Além disso  os moderadores são auxiliados por IA [inteligência artificial] e aprendizado de máquina para aprimorar as capacidades de moderação. Quase 42.000 grupos e canais relacionados a CSAM [material de abuso sexual infantil  na tradução para o português] foram removidos até agora em outubro. Ainda de acordo com a empresa  em agosto  os moderadores fizeram uma varredura nos resultados do recurso de pesquisa do Telegram para identificar e remover todo o conteúdo prejudicial que pudesse ser encontrado. As ferramentas de denúncia para usuários também foram expandidas para que os usuários possam especificar mais tipos de conteúdo para um processamento eficiente por moderadores e IA. Estamos expandindo ativamente nossas equipes de moderação e trabalhando em parcerias estratégicas com mais organizações para ampliar os conjuntos de dados de detecção que nossos sistemas usam para identificar proativamente conteúdo prejudicial durante tentativas de publicação. Por fim  o Telegram diz que tem um e mail para recebimento de denúncias contra conteúdos de abuso infantil: stopca@telegram.org. As denúncias lá geralmente são processadas ​​em duas horas  diz a empresa.|S|OUTROS CIBERCRIMES
3|4|Um homem foi preso por tráfico de drogas  nesta sexta feira (18)  durante uma operação contra golpistas cibernéticos  em São Paulo. O suspeito estava com grande quantidade de ecstasy  maconha e metanfetamina. Foram cumpridos mandados de busca e apreensão em 19 locais durante a chamada ‘Operação Evil Doll’  cujo objetivo é combater um esquema de golpe utilizando fraude no reconhecimento facial possibilitando o desvio de valores. As ações aconteceram nos municípios de Guarulhos  Embu das Artes e Taboão da Serra  na Grande São Paulo  e Santos  no Litoral  e contaram com apoio de policiais locais da Divisão Especializada de Investigações Criminais. Segundo o Departamento Estadual de Investigações Criminais (Deic)  em um dos casos o prejuízo atingiu o valor de R$ 251 mil. A investigação sobre o esquema acontece desde fevereiro de 2023. De acordo com o departamento de investigação  golpistas utilizaram fotos dos rostos das vítimas  imagens chamadas de ‘bonecos’  para driblar o sistema de reconhecimento facial das instituições financeiras.19 envolvidos no crime foram identificados. A operação foi realizada por policiais da 4ª Delegacia DCCiber (Investigações sobre Lavagem de Dinheiro e Ativos Ilícitos).|S|CIBERCRIME BANCÁRIO
4|5|Ela aparentava ser uma mulher bonita e  na mente de vários homens ao redor da Ásia  as chamadas de vídeo em que eles conversavam confirmavam que aquele novo romance era real. Masa polícia de Hong Kongafirma que os homens foram vítimas de um golpe amoroso que usava inteligência artificialdeepfakepara atrair suas vítimase fazê las desembolsar mais de US$ 46 milhões. a polícia de Hong Kong para atrair suas vítimas Em uma coletiva de imprensa na segunda feira (14)  as autoridades anunciaram a prisão de mais de 24 pessoas que fariam parte de um suposto esquema fraudulento  que  segundo eles  tinha como alvo homens de Taiwan à Cingapura e de lugares distantes como a Índia. A polícia disse que os 21 homens e as seis mulheres foram detidos sob acusações que incluem conspiração para fraude após uma operação no suposto centro operacional da quadrilha em uma unidade industrial de cerca de 1200 m² no distrito de Hung Hom  na cidade. Os suspeitos  com idades entre 21 e 34 anos  eram  em sua maioria  bem educados  muitos deles graduados em mídia digital e tecnologia  supostamente recrutados pela gangue após frequentarem universidades locais  informou a polícia. Os suspeitos teriam trabalhado com especialistas em TI no exterior para criar uma plataforma falsa de criptomoeda  onde as vítimas eram coagidas a fazer investimentos  acrescentou a polícia. Odeepfakeeram feito através de vídeo  áudio e outros conteúdos falsos realistas criados com a ajuda de IA.A tecnologia tem sido cada vez mais utilizada por vários pessoas mal intencionadas  desde daquelas que desejam espalhar desinformação até golpistas on line. A tecnologia tem sido cada vez mais utilizada por vários pessoas mal intencionadas Os golpes ficaram conhecidos como“Pig butchering” (esquartejamento de porcos)   uma vez que o objetivo era “engordar” as vítimas antes de tirar tudo o que elas têm. Tratava se de um setor ilícito multibilionário no qual os golpistas assumiam identidades on line falsas e passavam meses preparando seus alvos para levá los a investir em sites de criptografia falsos. Odeepfakeforam apenas mais uma arma do arsenal desses golpistas para tentar convencer os usuários desavisados a investir dinheiro. Em geral  o crime é praticado por gangues chinesas fora do Sudeste Asiático  mas não se sabe ao certo o quanto ele é difundido em Hong Kong  uma cidade rica onde a polícia há muito tempo tem feito campanhas para aumentar a conscientização sobre golpes telefônicos após vários casos de grande repercussão em que as vítimas   geralmente idosos   relataram perdas incrivelmente altas. Mas a tecnologiadeepfake  cada vez mais realista  aumentou os riscos e colocou as autoridades em alerta máximo. No início deste ano  uma empresa multinacional britânica de design e engenharia em Hong Kong perdeu US$ 25 milhões para fraudadores depois que um funcionário ser enganado por golpistas que usaram a tecnologiadeepfakepara se passar por seu diretor financeiro e outros funcionários. De acordo com a polícia de Hong Kong  o esquema dedeepfakeda gangue geralmente começava com uma mensagem de texto  na qual o remetente   disfarçado de uma mulher atraente   dizia que havia adicionado o número errado por engano. Os supostos golpistas  então  iniciavam romances on line com suas vítimas  promovendo um senso de intimidade e até começarem a planejar um futuro juntos. O grupo era altamente organizado  dividido em departamentos encarregados de diferentes estágios do golpe  segundo a polícia. Eles até usavam um manual de treinamento para ensinar os integrantes a aplicar o golpe  aproveitando se da “sinceridade e emoção da vítima”  afirmou as autoridades policiais  que publicaram partes do manual no Facebook. Entre as etapas estavam: aprender sobre a visão de mundo da vítima para criar uma persona “sob medida  inventar dificuldades  como relacionamentos ou negócios fracassados  para “aprofundar a confiança da outra pessoa  e  por fim  apresentar uma “bela visão”  incluindo planos de viagem  para convencer a vítima a investir. O golpe funcionou por cerca de um ano antes de a polícia receber informações sobre ele por volta de agosto  afirma a polícia. Na operação  a polícia recuperou mais de 100 telefones celulares  o equivalente a quase US$ 26.000 em dinheiro e vários relógios de luxo.|S|OUTROS CIBERCRIMES
5|6|O Amazonas registrou 7.254 casos decrimes cibernéticosem todo estado  entre janeiro e agosto de 2024. Os números fazem parte do Painel de Indicadores Criminais  da Secretaria de Segurança Pública (SSP). crimes cibernéticos Os números dos oito primeiros meses do ano representam aumento de 53 9% em relação ao mesmo período de 2023. No ano passado foram registrados 4.712  entre janeiro e agosto. Os números até agosto deste ano quase equivale a todos os registros feitos em 2023. Entre janeiro e dezembro do ano passado  a SSP AM contabilizou 7.751. Isso significa que se o estado continuar com a média de mais de 906 crimes cibernéticos por mês  em 2024  o crescimento pode chegar a 40%  em relação aos dados do ano anterior. Estelionato e hackers lideram denúncias Entre os crimes em destaque no painel de dados da SSP AM  destacam se os crimes de estelionato  invasão de dispositivo informático  ameaça e falsa identidade. Os dois primeiros estão entre os crimes mais comuns no estado  liderando os registros  tanto em 2023 quanto em 2024. Todas as modalidades de crime apresentam aumento nas ocorrências entre os períodos comparados. O painel revela que os crimes de estelionato cresceram 57 4% em 2024. No ano passado  foram 2.358 registros. Em 2024 foram 3.713  entre janeiro e agosto. Ataques de hackers por invasão de dispositivo informático  também apresentaram leve alta de 12 4%. Os dados de 2023 apontam 1.119 ocorrências  diante de 1.258 em 2024. O crime de ameaça e falsidade ideológica registraram crescimento de 57 8% e 20 7%  respectivamente. Os registros de ameaça em 2023 mostram 557 ocorrências  ante 879 no período de 2024. Entre janeiro e agosto  falsidade ideológica foi de 553 para 668 casos.|S|OUTROS CIBERCRIMES
6|7|Uma operação da Polícia Civil do Pará  com apoio da Polícia Civil Paulista  prendeu em São Paulo 32 suspeitos de aplicarem diversos golpes cibernéticos contra moradores do estado da região Norte  entre outros. Em três dias  os policiais cumpriram 103 mandados de busca e apreensão em 12 municípios no território paulista. Batizada de Operação Guardião  a ação tem como alvo redes de criminosos responsáveis por crimes cibernéticos  como falsos leilões de veículos  golpe em plataformas de vendas  tabela pix  invasões de contas de redes sociais  invasões e “clonagens” de WhatsApp e crimes contra vulneráveis  envolvendo pornografia infantil  discursos extremistas  ciberbullying  entre outros. O delegado geral da Polícia Civil do Pará  Walter Resende  explica que o grupos  estabelecidos em São Paulo  praticavam os crimes contra cidadãos paraenses  e de outros estados: “São grupos diferentes. Além do falso leilão de veículos  eles invadem contas de Instagram  e se passam pelo usuário para pedir dinheiro  outro crime comum é esse em que a pessoa vê um anúncio de veículo cujo valor está sendo ofertado com uma diferença (menor) muito grande. Nossa equipe também está cumprindo mandados contra criminosos que praticam crimes contra crianças e adolescentes”. Entre os presos na capital paulista  estão um homem e uma mulher que atuavam no golpe do falso leilão. Eles não tiveram os nomes divulgados. De acordo com o delegado Renzo Zorzi  do Departamento de Operações Policiais Estratégicas  os criminosos replicavam sites verdadeiros  colocavam valores menores nos veículos e tiravam os sites do ar após os golpes.|S|CIBERCRIME BANCÁRIO
7|21|ÀCNN Talitha Camargo da Fonseca  advogada de Hasan Rabee brasileiro que foi repatriado de Gaza epassou a receber centenas de ameaças pelas redes sociais desde que retornou ao Brasil– disse que não há como dissociar as mensagens recebidas por Hasan da disputa política em nosso país. passou a receber centenas de ameaças pelas redes sociais desde que retornou ao Brasil Nosso país está polarizado e há uma barbárie em relação aos crimes digitais  disse a advogada. Segundo ela  há mais de 200 mensagens enviadas para Hasan com crimes de perseguição  injúria racial  ameaça de execução  difamação e calúnia  que serão levadas à área criminal e cível. ACNNteve acesso a parte delas  nas quais Hasan é intimidado e chamado de terrorista. Também há muitas menções ao fato de Hasan ter aparecido ao lado do presidente Luiz Inácio Lula da Silva (PT). Vamos levar a requisição de instauração de inquérito policial à Delegacia de Crimes Digitais  aqui de São Paulo  para que todos recebam as punições devidas e arquem com as consequências de danos morais  falou. Fonseca explicou que peticionou  junto ao Ministério dos Direitos Humanos  a entrada de Hasan no Programa de Proteção aos Defensores de Direitos Humanos  Comunicadores e Ambientalistas (PPDDH)  e que ainda nesta quinta feira (16) enviará um pedido de escolta  caso haja necessidade  para o Ministério da Justiça. Ela destaca o papel de Hasan na defesa dos direitos humanos ao mostrar a realidade durante o conflito na Faixa de Gaza  a situação de crise humanitária enfrentada pelos palestinos e a ter promovido a comunicação com o governo brasileiro durante as tentativas de resgate do grupo. Ela também ressaltou que ele  assim como a maior parte dos outros repatriados  ainda tem familiares em Gaza para se preocupar. É uma desumanidade essas pessoas que acabaram de sair dum momento de guerra  onde tinham sua integridade física e psicológica violada  chegarem no país e continuarem com essa violência psicológica  acrescentou Fonseca. Em nota  a Secretaria Nacional de Justiça do Ministério da Justiça e Segurança Pública afirmou que “as denúncias estão sendo apuradas e serão encaminhadas para a investigação da Polícia Federal (PF)”. Medo de sair de casa Hasan e a família chegaram em São Paulo na quarta feira (15)  mas estão com medo de sair de casa. O comerciante também tem evitado usar as redes sociais. “A gente saiu da guerra  fugiu da morte. Chegou aqui e encontrou outra guerra com ameaça e pressão”  disse Hasan àCNN. O comerciante diz que  ao se deparar com as ameaças no Brasil  se arrependeu de ter feito os vídeos. “Eu me arrependi de gravar os vídeos e coloquei minha família em risco sem saber”  disse. Hasan lamenta que ainda não conseguiu sair com as filhas  de 5 e 3 anos  para passear por medo de ser reconhecido na rua. Enquanto estava em Gaza  as meninas pediam para ir ao shopping. Hasan chorou ao contar sobre isso em entrevista naCNNna terça feira (14). “É muita pressão. Minha esposa está com medo. A gente estava precisando ir para shopping  mas não tem como ir agora. São muitas mensagens de ameaça  mais de 200. Estou cansado demais”  contou. Para Hasan  além do preconceito contra palestinos  ele virou alvo principalmente por agradecer ao governo federal e o presidente Lula. “O que estão fazendo é um jogo político porque eu agradeci o presidente Lula. Estão fazendo um jogo sujo comigo e minha família”  disse.|S|OUTROS CIBERCRIMES
8|22|O Ministério da Justiça e Segurança Pública (MJSP) lançou nesta segunda feira (16) o programa “De boa na rede”. O objetivo é combater crimes cibernéticos contra crianças e adolescentes e receber denúncias em parceria com plataformas de redes sociais e serviços de streaming. O site reúne ferramentas de controle parental  informações sobre condutas que configuram crime e tutorial sobre como acompanhar os acessos nos diferentes sistemas operacionais disponíveis. A iniciativa ensina  por exemplo  o passo a passo de como os responsáveis podem acompanhar o que é acessado na internet pelas crianças e adolescentes. “Não culpamos empresas ou tecnologias  mas há crimes sendo cometidos nestes espaços  que  em parte  viraram uma arena de guerra”  destacou o ministro da Justiça  Flávio Dino. O Ministério da Justiça explicou que todas as empresas participaram da construção do conteúdo e foram representadas no lançamento. São elas: Facebook  Instagram  Kwai  TikTok  Google  YouTube  Discord e X (antigo Twitter). As denúncias recebidas no portal serão enviadas para as delegacias de Repressão a Crimes Cibernéticos  que existem nos estados  a depender de cada denúncia. “Nenhum de nós deixaria nossos filhos irem a uma rua escura  onde há aliciadores e ninguém sabe o que acontece  mas é isso o que ocorre hoje na internet. Crianças e adolescentes estão expostos a todo tipo de conteúdo nocivo e apologia a crimes”  alertou a assessora especial de Direitos Digitais do Ministério da Justiça  Estela Aranha. Dados de crimes contra o público infantojuvenil embasam o lançamento do governo. Este ano  a Polícia Federal já realizou 627 operações  prendeu 291 pessoas e cumpriu 633 mandados de busca. O aumento de ações é de 70% em relação aos números do ano passado. O site para denúncias éwww.gov.br/deboanarede www.gov.br/deboanarede|S|CIBERCRIME BANCÁRIO
9|23|OFBIe as agências europeias desmantelaram uma enorme rede de computadores hackeados que tinham sido usados ​​para fraudar vítimas em centenas de milhões de dólares  segundo anúncio feito na terça feira (29). FBI O Departamento de Justiça apreendeu mais de US$ 8 milhões emcriptomoedasdos hackers e removeu seu código malicioso de um número não especificado de computadores infectados nosEUAe em todo o mundo  de acordo com o anúncio  que afirma que cerca de 200 mil foram infectados nos EUA e 700 mil em todo o mundo. criptomoedas EUA É um golpe para uma ferramenta de hacking conhecida como Qakbot  que gangues de ransomware tipo de malware de sequestro de dados de língua russa usaram para causar “danos significativos” a prestadores de serviços de saúde e agências governamentais em todo o mundo  disse o Departamento de Justiça. O departamento informou que as agências policiais daFrança Alemanha HolandaeReino Unidoajudaram na remoção. França Alemanha Holanda Reino Unido O Departamento de Estado também anunciou uma recompensa de até US$ 10 milhões por informações sobre as pessoas por trás do software malicioso. É o último passo em um esforço mais agressivo do FBI nos últimos anos para atingir ferramentas de hacking populares que permitem aos cibercriminosos roubar milhões de dólares dos americanos. O objetivo é usar todas as autoridades legais possíveis para dificultar os negócios dos cibercriminosos que ainda perturbam regularmente as empresas americanas e os governos locais. “Este é um esforço orquestrado para atingir os serviços que outros cibercriminosos estão utilizando em todo o mundo”  disse um alto funcionário do FBI em entrevista. A ferramenta que o FBI visou neste caso  conhecida como botnet  é um exército de computadores infectados que os hackers costumam usar para uma variedade de fraudes  bem como para hacks potencialmente perturbadores. É uma forma barata de acumular poder de fogo digital que pode desligar serviços críticos  como escolas ou prestadores de serviços de saúde. O Qakbot existe há cerca de 15 anos  mas o uso da ferramenta pelas gangues de ransomware nos últimos anos aumentou a urgência do esforço de aplicação da lei para se infiltrar na infraestrutura do grupo. A investigação culminou no final da semana passada  quando o FBI redirecionou o tráfego da botnet na internet através de servidores controlados pela agência e depois emitiu comandos para alguns computadores infectados desinstalarem o software malicioso. Nos últimos 18 meses  o Qakbot foi usado no estágio inicial de cerca de 40 ataques de ransomware diferentes que levaram a perdas de US$ 58 milhões  disse Martin Estrada  procurador dos EUA para o Distrito Central da Califórnia  em entrevista coletiva na terça feira. As vítimas do Qakbot incluem uma empresa de engenharia de energia em Illinois  uma empresa de defesa em Maryland e uma empresa de distribuição de alimentos no sul da Califórnia  disse Estrada. As autoridades policiais estão trabalhando para tentar devolver o dinheiro roubado às vítimas  acrescentou. Em um comunicado compartilhado com aCNN  o diretor do FBI  Christopher Wray  disse que a agência e seus parceiros internacionais “paralisaram uma das botnets criminosas cibernéticas mais antigas”. “Com os nossos parceiros federais e internacionais  continuaremos a atacar sistematicamente todas as partes das organizações cibercriminosas  os seus facilitadores e o seu dinheiro inclusive interrompendo e desmantelando a sua capacidade de usar infraestruturas ilícitas para nos atacar”  disse Wray. Os hackers podem reconstruir sua infraestrutura de computadores após a derrubada  mas os funcionários do FBI esperam que isso demore um pouco. O Qakbot “levou anos para ser montado e seria difícil e demorado para [os hackers] se reconstituírem da mesma maneira que fizeram antes”  disse o alto funcionário do FBI  que estimou que o Qakbot causou centenas de milhões de ataques diretos ou perdas indiretas às vítimas desde 2008. Questionado se havia mais criptomoedas em poder dos agentes do Qakbot para apreender  o funcionário do FBI disse que a remoção anunciada na terça feira se concentrou na infraestrutura de computação  “mas há outro trabalho a ser feito aqui  para incluir aspectos financeiros”. John Fokker  executivo sênior da empresa de segurança cibernética Trellix  que rastreia Qakbot  disse que as pessoas por trás da botnet desenvolveram ao longo dos anos novas técnicas de evasão para tentar despistar os investigadores. “Realmente depende de quão ansiosos eles estão para reconstruir” sua infraestrutura de computadores  disse Fokker àCNN  quando questionado sobre quando o Qakbot poderá ressurgir. Veja também: PF compartilha com FBI investigação sobre joias de Bolsonaro|S|CIBERCRIME BANCÁRIO
