index|quem|o_que|quando|onde|por_que|como|cibercrime|tipo
0|vítima: autor do relato " golpista: vendedor de carro e falsificado ""amigo""|golpe de venda de carro com falsificação de identidade e pressão por compra|ontem|marketplace e WhatsApp|vítima demonstrou interesse em negócio suspeito|golpista se passou por amigo da vítima e simulou avaliação do veículo"|S|outros cibercrimes
1|vítima: autor do relato " golpista: ""gerente"" da pizzaria|golpe de reserva falsa com solicitação de pagamento antecipado|dia dos namorados|WhatsApp (canal oficial clonado)|canal oficial clonado e urgência criada|golpista direcionou vítima para número alternativo e pediu pagamento"|S|outros cibercrimes
2|vítima: autor do relato|ligações suspeitas com desconexão automática|recentemente|smartphone (chamadas)|possível exploração de vulnerabilidade em sistema|ligações desconectadas automaticamente |S|outros cibercrimes
3|vítima: familiar do autor  golpista: empresa falsa|cadastro de CPF vazado em chave Pix|recentemente|sistema bancário (Pix)|dados vazados cadastrados como chave Pix|golpistas criaram empresa falsa para receber transferências|S|cibercrime bancario
4|vítima: autor do relato|golpe de devolução com troca de produto|após entrega|Enjoei e e-mail|vítima não pode comprovar conteúdo enviado|compradora falsificou solicitação de devolução |S|outros cibercrimes
5|vítima: autor do relato|ligações suspeitas com identificação falsa|duas ocasiões recentes|telefone (chamadas)|número parecia legítimo (mesma cidade)|ligações de números desconhecidos |N|
6|vítima: autor do relato|site falso de transportadora com dados vazados|recentemente|site falso (melhorentrega.com)|dados vazados (nome, endereço)|site clonado com informações pessoais da vítima |S|outros cibercrimes
7|vítima: autor do relato  golpista: lojas falsas no Instagram|anúncios de celulares com preços abaixo do mercado|recentemente|Instagram (lojas falsas)|preços baixos e justificativas convincentes|lojas falsas com CNPJ inconsistente e endereços inválidos|S|outros cibercrimes
8||||||
9|vítima: autor do relato " golpista: loja ""Mundo Dreams""|venda de produtos falsos da Disney|recentemente|site falso (Mundo Dreams)|uso de marca famosa e preços baixos|loja falsa com imagens possivelmente geradas por IA"|S|outros cibercrimes
10|vítima: autor do relato|golpe de instalação falsa de internet|recentemente|Instagram e WhatsApp|empresa falsa com perfil incompleto|coleta de endereço sem conclusão do serviço |S|outros cibercrimes
11||||||
