0;1;2
24;N;|
25;S;cibercrime bancário
26; S; Outros Cibercrimes
27; S; Outros Cibercrimes
28; N;
29; S; Cibercrime bancário
21;S;Outros Cibercrimes
10;S;Cibercrime bancário
11;N;-
4;S;Cibercrime bancário
5;S;Outros Cibercrimes
38;N;
39;S;Outros Cibercrimes
22; S; Cibercrime bancário
23; S; Cibercrime bancário
34;S;Outros Cibercrimes
13;S;Cibercrime bancário
2;S;Outros Cibercrimes
3;S;Outros Cibercrimes
36;S;Outros Cibercrimes
37;S;Cibercrime bancário
0; S; Cibercrimes
6;S;Outros Cibercrimes
7;S;Cibercrime bancário
18; S; Cibercrime bancário
19; S; Outros Cibercrimes
32; S; Outros Cibercrimes
33; N;
40;S;Outros Cibercrimes
41;S;Cibercrime bancário
42;S;Cibercrime bancário
43;N;-
44;S;Outros Cibercrimes
45;S;Cibercrime bancário
46;N;
47;S;Outros Cibercrimes
48;S;Cibercrime bancário
49;N;
50;S;Outros Cibercrimes
51;S;Cibercrime bancário
52; N;
53; S; Outros Cibercrimes
54; N;
55; S; Outros Cibercrimes
58; N;
59; S; Outros Cibercrimes
60;N;|
61;S;|Outros Cibercrimes
62;S;Outros Cibercrimes
63;S;Outros Cibercrimes
64; N;
65; S; Outros Cibercrimes
67;S;Outros Cibercrimes
68; N;
69; S; Cibercrime bancário
70;S;Outros Cibercrimes
71;S;Cibercrime bancário
72;N;|
73;S;cibercrime bancário
74; S; N/A
75; S; Outros Cibercrimes
76;N;
77;S;Outros Cibercrimes
78; N;
79; S; Outros Cibercimes
81;S;Outros Cibercrimes
* 56; S; Cibercrimes
* 57; N;
82;S;Cibercrime bancário
83;S;Outros Cibercrimes
84; S; Outros Cibercrimes
85; S; Outros Cibercrimes
86; N;
87; S; Cibercrime bancário
88;S;cibercrime bancário
89;N;
92; S; Cibercrime bancário
93; N; -
90;S;Cibercrime bancário
91;S;Outros Cibercrimes
94|N;|;
96; S; Cibercrime bancário
97; N; -
98; S; Cibercrime bancário
99; S; Outros Cibercrimes
100; S; Outros Cibercrimes
101; S; Cibercrime bancário
105; S;Cibercrime bancário
102;S;Cibercrime bancário
103;S;Outros Cibercrimes
106; S;cibercrime bancário
107; S;outros cibercrimes
108;S;Outros Cibercrimes
109;S;Cibercrime bancário
110; N;
111; S; Cibercrime bancário
112; S; Cibercrime bancário
113; N;
114; S; Cibercrime bancário
115; S; Outros Cibercrimes
116; S; Outros Cibercrimes
120; S; Cibercrimes
118;N;| - (outra)
119;S;|Cibercrime bancário
124;S;Cibercrime bancário
122;S;Outros Cibercrimes
123;S;Cibercrime bancário
128; N;
129; S; Outros Cibercrimes
130; S; Outros Cibercrimes
127;S;Outros Cibercrimes (Discussão sobre a nova modalidade de pagamento do PIX Automático e sua capacidade de facilitar pagamentos recorrentes)
133;N;
136; N;
137; S; Cibercrime Bancário
140; S; Cibercrime bancário
141; N;
142; S; Outros Cibercrimes
143; S; Cibercrime bancário
144; N;
145; S; Cibercrime bancário
143;S;Cibercrime bancário
147;S;Outros Cibercrimes
148; S; Cibercrime bancário
149; S; Cibercrime bancário
150; N;
151; S; Cibercrime bancário
152; S; Outros Cibercrimes
154;S;Cibercrime bancário
155;N;
156; N;| - |
157; S;| Cibercrime bancário
161;S;Outros Cibercrimes
158;S;Outros Cibercrimes
159;S;Cibercrime bancário
164;S;Outros Cibercrimes
165;S;Cibercrime bancário
162; S; Cibercrimes (outras)
163; S; Outros Cibercrimes
168;S;Cibercrime bancário
166; S; Outros Cibercrimes
167; S; Cibercrime bancário
171;S;Outros Cibercrimes
174;S;cibercrime bancário
175;N;
176;S;Cibercrime bancário
177;S;Outros Cibercrimes
180;N;
181;S;Outros Cibercrimes
182; N;
183; S; Outros Cibercrimes
184; S; Outros Cibercrimes
185; S; Outros Cibercrimes
186; N;
187; S; Outros Cibercrimes
190; S; Cibercrime bancário
191; N;
193;N;|Outros Cibercrimes
194;S;Cibercrime bancário
196;N;
198;S;Outros Cibercrimes
200;S;Outros Cibercrimes
202;S;Outros Cibercrimes
203;S;Cibercrime bancário
204; S; Cibercrimes
205; S; Outros Cibercrimes
206;S;Cibercrimes
207;N;
210; S; Cibercrime bancário
209; S; Outros Cibercrimes
212;S;Cibercrime bancário
213;S;Outros Cibercrimes
214; S; Outros Cibercrimes
216;S;Cibercrime bancário
217;S;Outros Cibercrimes
218; S; Cibercrime bancário
219; S; Outros Cibercrimes
220;N;|blank|
221;S;|Outros Cibercrimes|
222;S;Cibercrimes
225; S;cibercrime bancário
228; N;| -
229; S;| Cibercrime bancário
226; S; Outros Cibercrimes
227; S; Cibercrime bancário
232; S; Outros Cibercrimes
230; N;
231; S; Cibercrime bancário
234; S; Cibercrime bancário
235; N; -
236;S;Cibercrime bancário
237;S;Outros Cibercrimes
238;S;cibercrime bancário
239;N;
246; S; Cibercrime bancário
247; S; Cibercrime bancário
248; S; Cibercrime bancário
249; S; Outros Cibercrimes
252; N;
253; S; Cibercrime bancário
254; S; N/A (not a cibercrime, but rather an investigation into criminal activity)
255; S; Cibercrimes (specifically, it appears to be a case of identity theft and financial fraud)
256; N;
257; S; Cibercrime bancário
258; S; Outros Cibercrimes
260;S;Outros Cibercrimes
261;S;Cibercrime bancário
262;S;cibercrime bancário
264; N;|
265; S; Outros Cibercrimes
269; N;
266; S; Outros Cibercrimes
267; N; -
270;S;Cibercrime bancário
271;S;Outros Cibercrimes
272; S; Cibercrime bancário
273; S; Outros Cibercrimes
274; S; Cibercrime bancário
275; N;
276; S; Cibercrime bancário
278;S;Cibercrime bancário
279;N;
280;S;Cibercrime bancário
281;S;Outros Cibercrimes
283;N;-
284;S;N/A
285;N;N/A
286;S;Outros Cibercrimes
287;S;Cibercrime bancário
288;S;Cibercrime bancário
289;N;
291;N;| Outros Cibercrimes
292;S;cibercrime bancário
