index|quem|o_que|quando|onde|por_que|como
0|vítima: autor do relato; golpista: vendedor de carro e falsificado "amigo"|golpe de venda de carro com falsificação de identidade e pressão por compra|ontem|marketplace e WhatsApp|vítima demonstrou interesse em negócio suspeito|golpista se passou por amigo da vítima e simulou avaliação do veículo
1|vítima: autor do relato; golpista: "gerente" da pizzaria|golpe de reserva falsa com solicitação de pagamento antecipado|dia dos namorados|WhatsApp (canal oficial clonado)|canal oficial clonado e urgência criada|golpista direcionou vítima para número alternativo e pediu pagamento
2|vítima: autor do relato|ligações suspeitas com desconexão automática|recentemente|smartphone (chamadas)|possível exploração de vulnerabilidade em sistema|ligações desconectadas automaticamente
3|vítima: familiar do autor; golpista: empresa falsa|cadastro de CPF vazado em chave Pix|recentemente|sistema bancário (Pix)|dados vazados cadastrados como chave Pix|golpistas criaram empresa falsa para receber transferências
4|vítima: autor do relato|golpe de devolução com troca de produto|após entrega|Enjoei e e-mail|vítima não pode comprovar conteúdo enviado|compradora falsificou solicitação de devolução
5|vítima: autor do relato|ligações suspeitas com identificação falsa|duas ocasiões recentes|telefone (chamadas)|número parecia legítimo (mesma cidade)|ligações de números desconhecidos
6|vítima: autor do relato|site falso de transportadora com dados vazados|recentemente|site falso (melhorentrega.com)|dados vazados (nome, endereço)|site clonado com informações pessoais da vítima
7|vítima: autor do relato; golpista: lojas falsas no Instagram|anúncios de celulares com preços abaixo do mercado|recentemente|Instagram (lojas falsas)|preços baixos e justificativas convincentes|lojas falsas com CNPJ inconsistente e endereços inválidos
8||||||
9|vítima: autor do relato; golpista: loja "Mundo Dreams"|venda de produtos falsos da Disney|recentemente|site falso (Mundo Dreams)|uso de marca famosa e preços baixos|loja falsa com imagens possivelmente geradas por IA
10|vítima: autor do relato|golpe de instalação falsa de internet|recentemente|Instagram e WhatsApp|empresa falsa com perfil incompleto|coleta de endereço sem conclusão do serviço
11||||||
12|vítima: autor do relato; golpista: traficante falso|extorsão via Telegram após tentativa de compra ilegal|recentemente|Grindr e Telegram|medo da vítima (atividade ilegal)|falsos comprovantes e ameaças de exposição
13|vítima: autor do relato|produto defeituoso (cooler)|após entrega|site de compras|dificuldade de comprovar defeito|produto não funcionou ao chegar
14|vítima: autor do relato|possível golpe no Mercado Livre|recentemente|Marketplace e Mercado Livre|interesse em método de pagamento seguro|comprador insistiu em usar plataforma específica
15|vítima: autor do relato|ameaça de vazamento de vídeo íntimo|recentemente|e-mail (conta comprometida)|acesso não autorizado à conta|e-mail enviado pela própria vítima com ameaça
16|vítima: autor do relato|mensagens diárias de golpistas|recentemente|WhatsApp ou SMS|número vazado ou exposto|contato persistente de golpistas
17|vítima: autor do relato|mensagens de estranhos e SMS de apostas|recentemente|Telegram e WhatsApp|vazamento de número de telefone|contatos desconhecidos se passando por conhecidos
18|vítima: autor do relato|compra de placa de vídeo com risco de golpe|próximo sábado|encontro presencial|dificuldade de verificar funcionamento do produto|venda sem garantia de teste
19|vítima: autor do relato; golpista: vendedor emocional|venda com histórias falsas para comover|frequente no local de trabalho|rua (abordagem presencial)|uso de histórias emocionais|vendedores insistentes com produtos irrelevantes
20|vítima: tia do autor|transferência sob coerção|dois dias atrás|WhatsApp ou chamada|vulnerabilidade por idade|ameaças e criação de urgência
21||||||
22|vítima: autor do relato|acesso não autorizado a contas|recentemente|YouTube e e-mail|possível vazamento de credenciais|invasor pesquisou conteúdos específicos
23|vítima: autor do relato|tentativa de golpe do PIX|recentemente|Nubank (app)|dúvida sobre processo de reembolso|solicitação de PIX reverso suspeita
24|vítima: conhecida do autor|golpe da taxa da alfândega|recentemente|e-mail falso|urgência e aparência oficial|link falso para pagamento via PIX
25||||||
26|vítima: autor do relato|venda com confirmação de pagamento|recentemente|presencial ou plataforma|confiança na confirmação de saldo|combinação de entrega após verificação
27|vítima: pai do autor|investimento falso em criptomoedas|recentemente|MEW Wallet e DApp|promessa de rendimento alto|site suspeito com documentos falsos
28|vítima: esposa do autor|e-mail falso sobre bloqueio de CPF|recentemente|e-mail|aparência oficial|comunicação falsa de suposto bloqueio
29|vítima: autor do relato|roubo de celular e acesso a redes sociais|01/06|Recife (centro) e Instagram|celular desbloqueado após roubo|assaltantes acessaram Instagram rapidamente
30|vítima: autor do relato|urgência suspeita em negociação|recentemente|presencial ou online|pressão por confiança|criação de falsa urgência
32|vítima: autor do relato; golpista: falsos consultores do PicPay|tentativa de contratação de empréstimo não solicitado|recentemente|ligação telefônica e notificações falsas|clonagem de comunicação oficial|simulação de empréstimo via notificação falsa
33|vítima: autor do relato|compra de PS5 com possível golpe no Mercado Pago|pretendida|Mercado Pago|promessa de segurança falsa|pagamento antecipado sem garantia real
34|vítima: sogra do autor|golpe de interferência em instalação de internet|hoje|ligações falsas|informações vazadas do contrato|contato fraudulento com oferta de serviço alternativo
35|vítima: autor do relato|cobrança de dívida inexistente|recorrente|mensagens e ligações|uso de dados desatualizados|persistência em contatos fraudulentos
36||||||
37|vítima: autor do relato|oferta falsa de direito trabalhista|recentemente|contato telefônico/email|exploração de desconhecimento jurídico|promessa de benefício inexistente
38||||||
39|vítima: autor do relato|cobrança por consulta a dados pessoais|recentemente|plataforma desconhecida|exploração de curiosidade|monetização ilegal de informações
40|vítima: autor do relato; golpista: perfil falso no Telegram|golpe do amor/sequestro virtual|recentemente|Telegram e WhatsApp|perfil fake com história elaborada|coleta de dados pessoais e contato persistente
41||||||
42|vítima: autor do relato|golpe da taxa alfandegária falsa|recentemente|e-mail de spam|aproveitamento de compra internacional|comunicação falsa com link malicioso
43|vítima: autor do relato|problema com cancelamento de CNPJ|recentemente|sistema online|burocracia explorada|dificuldade em resolver situação
44||||||
45|vítima: autor do relato|rastreio falso de encomenda|recentemente|site falso|vazamento de dados de transporte|geração de PIX para empresa fantasma
46|vítima: autor do relato|contratação em site falso da Claro|recentemente|site clonado|semelhança com página oficial|coleta de dados bancários
47|vítima: autor do relato|ameaça de vazamento de vídeo íntimo|alguns dias atrás|e-mail institucional|exploração de medo|comunicação falsa sem prova
48|vítima: avó do autor; golpista: falsos médicos|golpe de remédio milagroso|recentemente|WhatsApp e correio|exploração de vulnerabilidade emocional|ameaças jurídicas falsas
49|vítima: autor do relato|oferta de produto com preço suspeito|recentemente|Netshoes/Magalu|diferença de preço inexplicável|risco de produto falsificado
50|vítima: autor do relato|leilão com preço abaixo do mercado|pretendido|Facebook e presencial|oferta "boa demais"|pagamento adiantado sem garantia
51|vítima: autor do relato|criação não autorizada de conta|recentemente|Mercado Pago (e-mail)|possível vazamento de dados|comunicação suspeita com link
52|vítima: autor do relato|tarefa online com pagamento real|recentemente|plataforma desconhecida|isca para golpes maiores|pagamento inicial como chamariz
53|vítima: autor do relato|mensagens indesejadas persistentes|diariamente|WhatsApp/SMS|vazamento de número|contatos recorrentes de números novos
54|vítima: autor do relato|spam persistente|constante|e-mail|ineficácia de bloqueio|remetentes diversos
55|vítima: autor do relato|anúncios não moderados|constante|plataforma de vendas|falta de fiscalização|persistência de anúncios suspeitos
56|vítima: autor do relato|perfis falsos em redes sociais|recentemente|Instagram|uso de imagens genéricas|contas claramente falsas
57|vítima: autor do relato|compra de videogame com risco|pretendida|OLX (presencial)|dificuldade de verificação|encontro sem garantias
58||||||
59|vítima: autor do relato|golpe do frete grátis|recentemente|Instagram (anúncio)|promoção "boa demais"|cobranças progressivas após frete
60|vítima: autor do relato|cursos gratuitos como isca|constante|WhatsApp (grupos)|captura de dados pessoais|venda posterior de serviços
61|vítima: autor do relato|compra de videogame com risco|pretendida|OLX (presencial)|dificuldade de verificação|encontro sem garantias
62|vítima: autor do relato|mensagem com dados pessoais|recentemente|canal desconhecido|vazamento de informações|tentativa de extorsão
63|vítima: autor do relato|contato suspeito com estranhos|recentemente|redes sociais|abordagem incomum|risco de golpe não especificado
64|vítima: autor do relato|compra com risco de não entrega|pretendida|OLX (PIX)|falta de garantia|pagamento antecipado sem proteção
65|vítima: autor do relato|compra em site não confiável|recentemente|link compartilhado|falta de verificação|risco de dados/fraude
66|vítima: autor do relato|domínios criativos para golpes|recentemente|sites falsos|engano por semelhança com marcas|URLs enganosas
67|vítima: autor do relato|transação suspeita em GBP (R$0,00)|recentemente|cartão físico/digital|possível clonagem|transação não autorizada
68|vítima: autor do relato|saque não autorizado na Caixa|recentemente|SMS|confusão com conta inativa|comunicação falsa
69|vítima: autor do relato|golpe com informação geográfica falsa|recentemente|canal desconhecido|erro proposital|detalhe incongruente
70|vítima: autor do relato; golpista: "Elen"|tentativa de contrato forjado|hoje|ligação telefônica|pressão e áudio ruim|coleta de voz/dados
71|vítima: autor do relato|ligações falsas com número similar|recentemente|WhatsApp|máscara de número|possível clonagem
72|vítima: autor do relato|golpe do suporte falso do Google|recentemente|ligação empresarial|dados vazados|link malicioso
73|vítima: mãe do autor|golpe da encomenda falsa|esta semana|WhatsApp|informações incorretas|abordagem suspeita
74|vítima: autor do relato|oferta de emprego falsa|recentemente|OLX e WhatsApp|promessa de ganhos altos|trabalho sem garantia
75|vítima: autor do relato|golpe do boleto falso|recentemente|ligação telefônica|dados bancários vazados|SAC falso
76|vítima: autor do relato|perfil suspeito no LinkedIn|recentemente|e-mail e LinkedIn|erros de ortografia|história genérica
77|vítima: autor do relato|visita técnica falsa da Vivo|recentemente|WhatsApp|informações vazadas|contato persistente
78|vítima: autor do relato|golpe do entregador de comida|recentemente|iFood|falha no sistema|pedido não entregue
79|vítima: esposa do autor|mensagens de cobrança falsas|recorrente|SMS/WhatsApp|erros no nome|tentativa de golpe
80|vítima: autor do relato|compra não entregue na OLX|recentemente|OLX e WhatsApp|exclusão de conta|selo falso de postagem
81|vítima: autor do relato|dicas de segurança digital|N/A|N/A|N/A|N/A
82|vítima: mãe do autor|oferta falsa de redução de fatura|recentemente|ligação telefônica|dados vazados|contato persistente
83|vítima: amiga do autor|site falso do Mercado Livre|hoje|URL falsa (MLIVRE10)|preço baixo|redirecionamento direto para compra
84||||||
85|vítima: avó do autor|golpes recorrentes por credulidade|constante|vários meios|idade/vulnerabilidade|falta de filtro
86|vítima: autor do relato|código de verificação não solicitado|recentemente|e-mail (Ragnarok)|possível teste de conta|tentativa de acesso
87|vítima: autor do relato|prints de perfil suspeito|recentemente|Instagram|conteúdo de prevenção|N/A
88|vítima: autor do relato|perfis falsos no Telegram|recentemente|Telegram|bots de mensagens|oferta de conteúdo adulto
89|vítima: autor do relato|spam de formulários falsos|meses|e-mail|disfarce de instituições|phishing persistente
90|vítima: mãe do autor|ligação suspeita do Google Maps|recentemente|ligação telefônica|dados de negócio|possível golpe
91|vítima: autor do relato|taxa alfandegária falsa|recentemente|site falso|compra nacional|cobrança indevida
92|vítima: autor do relato|golpe da taxa de importação|recentemente|Enjoei e WhatsApp|produto inexistente|pedido de pagamento adicional
93|vítima: autor do relato|extorsão com nudes|recentemente|Telegram|dados vazados|ameaça de exposição
94|vítima: autor do relato|chantagem com montagem falsa|recentemente|canal desconhecido|dados pessoais|BO registrado
95|vítima: autor do relato|oferta de investimento suspeito|recentemente|serviço de mineração|promessa de lucro|empresa não verificada
96|vítima: autor do relato|golpe do turista|hoje|ligação telefônica|abordagem inicial legítima|resposta humorística
97|vítima: autor do relato|mensagem de cobrança falsa|recentemente|WhatsApp|nome correto|ameaça de bloqueio
98|vítima: autor do relato|ligação automática sobre compra falsa|recorrente|ligação telefônica|alerta falso|golpe da central
99||||||
100|vítima: irmão do autor|compra não autorizada na Magalu|ontem|conta comprometida|endereço real|cartão não identificado
