0;1;2
2;S;Outros Cibercrimes
32;S;cibercrime bancário
33;S;cibercrime bancário
22;N;|
23;S;|Cibercrime bancário
28; S; Outros Cibercrimes
29; S; Outros Cibercrimes
39;S;cibercrime bancário
34;S;Outros Cibercrimes
35;S;Cibercrime bancário
8;S;Outros Cibercrimes
10; S; Outros Cibercrimes
11; N;
4;S;Cibercrime bancário
5;S;Outros Cibercrimes
0; S; Cibercrime bancário
1; N;
30;|N|;
31;|S|Outros Cibercrimes
16;S;Outros Cibercrimes
17;S;Cibercrime bancário
18; S; Outros Cibercrimes
14;S;Cibercrime bancário
15;S;Outros Cibercrimes
12;S;Outros Cibercrimes
13;S;Cibercrime bancário
6;S;Outros Cibercrimes
7;S;Cibercrime bancário
25;S;Outros Cibercrimes
36;S;Outros Cibercrimes
37;S;Outros Cibercrimes
20;S;Cibercrime bancário
21;N;-
42; S; Outros Cibercrimes
43; S; Cibercrime bancário (não é um crime ocorrido com objetivo de roubo de dinheiro, mas sim um caso de stalking utilizando dispositivo AirTag)
44;S;Outros Cibercrimes
48; N;
49; S; Cibercrime bancário
46;S;Outros Cibercrimes
47;S;Cibercrime bancário
52; S; Cibercrime bancário
53; N; -
50;S;Outros Cibercimes
54;N;
55;S;Outros Cibercrimes
56;N;
57;S;cibercrime não bancário
58;S;cibercrime bancário
59;N;
61;S;Outros Cibercrimes
62; S; Outros Cibercrimes
63; N;
64; N;
65; S; Outros Cibercrimes
68; N;
69; S; Outros Cibercrimes
70; N;
71; S; Outros Cibercimes
72; S; Outros Cibercrimes
73; N;
74; N;
75; S; Outros Cibercrimes
76; N;|
77; S; Outros Cibercrimes
78; S; Outros Cibercrimes
80;N;
81;S;cibercrime bancário
83;S;Outros Cibercrimes
84; S; N/A
85; S; Outros Cibercrimes
66;S;Outros Cibercrimes
87; S; Outros Cibercrimes
90;S;Outros Cibercrimes
91;S;Cibercrime bancário
92;S;Cibercrime bancário
93;S;Outros Cibercrimes
88;N;|
89;S;Outros Cibercimes
94;S;Outros Cibercrimes
95;S;Outros Cibercrimes
96;S;Outros Cibercrimes
97;S;Cibercrime bancário
100;S;Outros Cibercrimes
101;S;Outros Cibercrimes
102; S; Outros Cibercrimes
104;S;cibercrime bancário
105;S;cibercrime bancário
106; S; Cibercrime bancário
107; S; Cibercrime bancário
110;N;
111;N;
108;S;cibercrime bancário
109;S;cibercrime bancário
112;N;
113;N;
116;S;cibercrime bancário
117;S;cibercrime bancário
118;N;|
122;S;cibercrime bancário
124;S;Outros Cibercrimes
126;S;Outros Cibercrimes
130;S;Outros Cibercrimes
131;S;Outros Cibercrimes
134;S;Cibercrime bancário
135;S;Cibercrime bancário
132;S;Outros Cibercrimes
133;S;Cibercrime bancário
136; S; Cibercrime bancário
140; N;
141; N;
142; N;
143; S; Outros Cibercrimes
144;S;Outros Cibercrimes
145;S;Outros Cibercrimes
146;S;cibercrime bancário
147;S;cibercrime bancário
148;N;| |
149;N;| |
152;S;Cibercrime bancário
155;S;Outros Cibercrimes
156; S; Cibercrime bancário
158;S;Cibercrime bancário
159;S;Cibercrime bancário
160;S;Cibercrime bancário
161;S;Cibercrime bancário
162;N;
163;N;
164; S; Cibercrime bancário
166; S; Outros Cibercrimes
170;S;Cibercrime bancário
171;S;Cibercrime bancário
168;S;Cibercrime bancário
169;S;Cibercrime bancário
175; N;
176;S;N
177;S;N
172; S; Cibercrime bancário
173; S; Cibercrime bancário
180;S;Outros Cibercrimes
181;S;Cibercrime bancário
182;S;cibercrime bancário
183;S;cibercrime bancário
186;S;Outros Cibercrimes
184;S;cibercrime bancário
185;S;cibercrime bancário
189; S;|Outros Cibercrimes
190;S;cibercrime bancário
191;S;cibercrime bancário
192; S; Cibercrime bancário
194;S;Lavagem de dinheiro
195;S;Cibercrime bancário
196;S;Cibercrimes (Outros)
197;S;Cibercrimes (Outros)
198;S;Cibercrime bancário
199;S;Cibercrime bancário
200;S;Cibercrime bancário
202;S;Cibercrime bancário
203;S;Cibercrime bancário
208;N;|
209;N;|
210; N;
211; S; Outros Cibercrimes
212;S;cibercrime bancário
214; N;
215; N;
217;N;
218;S;Outros Cibercrimes
219;S;Outros Cibercrimes
220;S;Cibercrime bancário
222;S;Outros Cibercrimes
223;S;Cibercrime bancário
224; S; Cibercrime bancário
225; N; -
228; N;
229; S; Cibercrime bancário
230; S; Cibercrime bancário
231; N;
232; N;
233; S; Outros Cibercrimes
234; S; Outros Cibercrimes
235; S; Cibercrime bancário
236; N;
237; N;
239;S;Outros Cibercrimes
240;S;Outros Cibercrimes
242; S; Outros Cibercrimes
243; S; Cibercrime bancário
244;S;Cibercrime bancário
245;S;Outros Cibercrimes
246; S; Cibercrime bancário
247; S; Cibercrime bancário
248; S; Cibercrime bancário
249; N;
251;S;N/A
252;S;Outros Cibercrimes
254;N;
255;N;
261;N;-
256;S;Cibercrime bancário
257;S;Cibercrime bancário
263;S;Cibercrime bancário
264; S; Outros Cibercrimes
268;N;
269;N;
266;S;Cibercrime bancário
267;S;Cibercrime bancário
270;S;Outros Cibercrimes
271;S;Outros Cibercrimes
272;S;Outros Cibercrimes
273;N;-
276; S; N
277; S; Cibercrime bancário
278; S; Cibercrimes (Outros)
279; S; Outros Cibercrimes
280;S;Outros Cibercrimes
281;S;Cibercrime bancário
284;S;Outros Cibercrimes
284; S; Cibercrime bancário
286;S;Outros Cibercrimes
287;S;Cibercrime bancário
288;S;Outros Cibercrimes
290; S; Cibercrime bancário
291; N;
298;S;cibercrime bancário
299;S;cibercrime bancário
304;N;-
307;S;Outros Cibercrimes
308;S;Outros Cibercrimes
310; N;
311; S; Outros Cibercrimes
312; N;
313; N;
314;S;Outros Cibercrimes
315;S;Cibercrime bancário
316;S;Cibercrime bancário
317;N;N
318;N;-
319;S;Outros Cibercrimes
324;S;Outros Cibercrimes
325;S;Outros Cibercrimes
326;S;Cibercrimes
328; N;
329; N;
330;S;Cibercrime bancário
334; N;
335; N;
332;S;Cibercrime bancário
333;N;
336;N;
337;N;
338;S;Outros Cibercrimes
339;S;Outros Cibercrimes
340;S;Outros Cibercrimes
341;S;Cibercrime bancário
342; N;
343; N;
345;S;Outros Cibercrimes
346;S;Outros Cibercrimes
347;S;Cibercrime bancário
348; S; Cibercrime bancário
349; S; Outros Cibercrimes
353; S; Outros Cibercrimes
349;S;Cibercrime bancário
350;S;Outros Cibercrimes
356;N;
357;N;
358; S; Cibercrime bancário
359; S; Cibercrime bancário
360;S;Cibercrime bancário
361;S;Cibercrime bancário
362;S;Outros Cibercrimes
363;S;Cibercrime bancário
364;S;Cibercrime bancário
365;S;Outros Cibercrimes
366; S; Cibercrime bancário
367; N; -
368;S;Outros Cibercrimes
369;S;Cibercrime bancário
370;S;cibercrime bancário
371;N;
375;S;Outros Cibercrimes
372;S;Cibercrime bancário
373;S;Outros Cibercrimes
376;S;Outros Cibercrimes
377;S;Cibercrime bancário
378; S; Cibercrime bancário
379; S; Cibercrime bancário
380;S;cibercrime bancário
382; S; Círculo crime não digital
384; N;
385; S; Cibercrime bancário
388;S;N/A
389;S;N/A
390;S;Outros Cibercrimes
391;S;Outros Cibercrimes
392; S; Cibercrime bancário
393; N; -
394; N;
395; S; Outros Cibercrimes
396; N;
397; S; Outros Cibercrimes
398;N;
399;S;Outros Cibercrimes
400;S;Outros Cibercrimes
401;S;Cibercrime bancário
402;S;cibercrime bancário
403;S;outros cibercrimes
406; S; Cibercrime bancário
407; N;
404;S;Cibercrime bancário
405;S;Outros Cibercrimes
408; N;
409; S; Outros Cibercrimes
410; S; Cibercrime bancário
411; S; Outros Cibercrimes
412;S;Cibercrime bancário
413;S;Outros Cibercrimes
414;S;Cibercrime bancário
415;N;
416; N;
417; N; Outros Cibercrimes
424; S; Cibercrimes (Outros)
426; S; Outros Cibercrimes
427; S; Cibercrime bancário
428; S; Outros Cibercrimes
430; S; Cibercrime bancário
431; S; Cibercrime bancário
432;S;cibercrime bancário
433;S;cibercrime bancário
434; S; Cibercrime bancário
435; S; Outros Cibercrimes
436; S; Cibercrime bancário
437; N;
443;S;Outros Cibercrimes
444;S;Outros Cibercrimes
445;S;Cibercrime bancário
446;S;Outros Cibercrimes
447;S;Outros Cibercrimes
449; N; N
450; N;
451; S; Cibercrime bancário
452; S; Cibercrime bancário
453; S; Outros Cibercrimes
454;S;Cibercrime bancário
455;N;
456; N;
457; S; Outros Cibercrimes
458;S;Outros Cibercrimes
459;S;Cibercrime bancário
460;S;Outros Cibercrimes
461;S;Cibercrime bancário
462;S;cibercrime bancário
463;N;
464; S; N/A
465; N; N/A
466; N;|
467; S; Cibercrime bancário
468;S;Outros Cibercrimes
469;S;Cibercrime bancário
470; S; feminicídio
471; N;
474; N;
476;S;Cibercrime bancário
477;S;Cibercrime bancário
478;S;Cibercrime bancário
479;S;Cibercrime bancário
480;S;Cibercrime bancário
481;S;Cibercrime bancário
482; S; Cibercrime bancário
484;S;Cibercrime bancário
485;S;Cibercrime bancário
486; N;
487; S; Outros Cibercrimes
488;S;cibercrime bancário
489;S;cibercrime bancário
490;N;
491;N;
493;S;Cibercrime bancário
494;N;
495;S;Outros Cibercrimes
496;S;cibercrime bancário
497;S;cibercrime bancário
498; S; Cibercrime bancário
499; S; Cibercrime bancário
501;N; -
504; S; Cibercrime bancário
505; N; -
502; N;
503; S; Cibercrime bancário
508;S;N
509;S;Cibercrime bancário
506;S;Outros Cibercrimes
507;S;N/A (not a cybercrime)
512;S;Cibercrime bancário
513;N;
510;S;Cibercrime bancário
511;S;Outros Cibercrimes
514; N;
515; S; Outros Cibercrimes
516; N;
517; S; Outros Cibercrimes
519;S;Outros Cibercrimes
520;S;Outros Cibercrimes
521;S;Cibercrime bancário
522;N;
523;S;Outros Cibercrimes
526; N;
527; N;
528;S;cibercrime bancário
529;S;cibercrime bancário
530;S;Cibercrime bancário
531;N;
532;N;
533;S;Cibercrime bancário
534; N;
535; S; Outros Cibercrimes
536;N;
537;S;Outros Cibercrimes
538;S;Outros Cibercrimes
539;S;Cibercrime bancário
542; S; Cibercrime bancário
544;S;Cibercrime não-bancário
545;S;Cibercrime não-bancário
548;S;cibercrime bancário
549;S;cibercrime bancário
550;S;cibercrime bancário
551;S;cibercrime bancário
554;S;Cibercrime bancário
555;S;Cibercrime bancário
556;S;Cibercrime bancário
558;S;Cibercrime bancário
559;S;Cibercrime bancário
560; N;
561; S; Outros Cibercrimes
562; S; Outros Cibercrimes
564; S; Cibercrime bancário
565; S; Outros Cibercrimes
566; S; Cibercrime bancário
568;S;Outros Cibercrimes
569;S;Cibercrime bancário
570;S;cibercrime bancário
572; N;
573; N;
574; N;
575; S; Cibercrime bancário
576; S; Cibercrime bancário
577; S; Outros Cibercrimes
578;N;
579;S;cibercrime bancário
580;S;Outros Cibercrimes
581;S;Cibercrime bancário
582;S;Cibercrime bancário
583;S;Outros Cibercrimes
588; S; Outros Cibercrimes
589; S; Cibercrime bancário
590; S; Outros Cibercrimes
592;S;Outros Cibercrimes
593;N;-
594;N;
595;S;Outros Cibercrimes
596; S; Outros Cibercrimes
597; N; (empty)
598; S; Outros Cibercrimes
599; N;
602; S; Cibercrime bancário
600;N;
601;S;Cibercrime bancário
604;S;cibercrime bancário
605;S;Outros Cibercrimes
606; S; Cibercrime bancário
607; N; (blank)
608;S;Outros Cibercrimes
609;N;
610; S; Outros Cibercrimes
612;N;
613;S;Outros Cibercrimes
614;S;Cibercrime bancário
615;S;Outros Cibercrimes
616; S; Outros Cibercrimes
617; N; (no crime ocorrido)
618;N;
619;S;cibercrime bancário
624;S;Cibercrime bancário
625;S;Cibercrime bancário
626;S;cibercrime bancário
627;N;
628;N;|
630; N;|-
631; S;|cibercrime bancário
632; S; Cibercrime bancário
633; N; (No crime was committed)
634; N;
635; S; Outros Cibercrimes
638;N;
639;S;Outros Cibercrimes
640;S;Cibercrime bancário
641;N;
648;S;Cibercrime bancário
652;N;
653;N;
654;S;Cibercrime bancário
655;S;Cibercrime bancário
656;S;Outros Cibercrimes
