|0
0|blog.asaas.com
1|gauchazh.clicrbs.com.br
2|noticias.uol.com.br
3|www.uol.com.br
4|www.bol.uol.com.br
5|blog.bb.com.br
6|www.metropoles.com
7|www.migalhas.com.br
9|www.mojeek.com
10|canaltech.com.br
11|economia.ig.com.br
12|www.otempo.com.br
15|www.jusbrasil.com.br
16|www.band.uol.com.br
17|www.cnnbrasil.com.br
18|www.conjur.com.br
20|economia.uol.com.br
21|www.sicredi.com.br
23|midiamax.uol.com.br
25|www.estadao.com.br
26|www.infomoney.com.br
28|olhardigital.com.br
29|www.correiobraziliense.com.br
30|oglobo.globo.com
31|blog.pagseguro.uol.com.br
32|blog.cielo.com.br
38|diariodonordeste.verdesmares.com.br
39|monitormercantil.com.br
43|exame.com
44|noticias.r7.com
46|br.financas.yahoo.com
49|www.em.com.br
53|www.tecmundo.com.br
60|invest.exame.com
61|www.metroworldnews.com.br
62|www.tudocelular.com
64|tudogolpe.blogosfera.uol.com.br
70|veja.abril.com.br
74|g1.globo.com
81|valorinveste.globo.com
89|www.terra.com.br
91|odia.ig.com.br
94|extra.globo.com
126|lupa.uol.com.br
129|pplware.sapo.pt
140|www.novucard.com.br
142|einvestidor.estadao.com.br
146|investnews.com.br
156|www.cora.com.br
159|www.mundoconectado.com.br
161|revistaquem.globo.com
168|tribunapr.uol.com.br
171|www.idinheiro.com.br
180|neon.com.br
182|epocanegocios.globo.com
184|www.cisoadvisor.com.br
189|www.concil.com.br
195|expresso.pt
206|www.tjsc.jus.br
214|www.correiodopovo.com.br
222|www.nsctotal.com.br
224|www.techtudo.com.br
244|natelinha.uol.com.br
247|www.uai.com.br
250|agenciabrasil.ebc.com.br
251|www.poder360.com.br
259|tecnoblog.net
262|sejaefi.com.br
270|br.ign.com
273|www.acidadeon.com
278|blog.cresol.com.br
283|www.oficinadanet.com.br
284|jovempan.com.br
287|motor1.uol.com.br
291|www.folhabv.com.br
293|securityleaders.com.br
298|macmagazine.com.br
319|istoe.com.br
325|mundoconectado.com.br
328|tecnologia.ig.com.br
333|link.estadao.com.br
336|www.bbc.com
348|gizmodo.uol.com.br
350|www.adrenaline.com.br
359|valor.globo.com
407|www.hardware.com.br
408|www1.folha.uol.com.br
410|borainvestir.b3.com.br
422|meubolso.mercadopago.com.br
426|blog.genialinvestimentos.com.br
437|www.opovo.com.br
445|www.temcaradegolpe.com.br
459|tiinside.com.br
499|www.redetv.uol.com.br
511|oantagonista.com.br
526|itajai.sc.gov.br
527|tribunademinas.com.br
528|tribunadonorte.com.br
538|f5.folha.uol.com.br
573|forbes.com.br
584|www.moneytimes.com.br
586|jc.ne10.uol.com.br
608|agora.folha.uol.com.br
688|www.gov.br
693|www.pagoufacil.com.br
694|www.reuters.com
737|www.brasildefato.com.br
741|acertpix.com.br
751|congressoemfoco.uol.com.br
753|www.gazetadopovo.com.br
778|meubolsoemdia.com.br
801|www.camara.leg.br
